Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843),-0.46542370267299965,-1.7830446757114995,0.0,0.10259492191733069,0.635,31/62,16.92%,HCN1;CACNG2;CACNA1I;KCNS2;CACNG8;KCND3;KCNMA1;CACNA2D3;CACNG7;PKD2;KCNH3;KCNH4;CACNA1C;LRRC38;KCNS3;CACNA1A;KCNC1;CACNA1D;KCNC3;KCNQ5;KCNC4;KCNV2;CACNB4;TPCN2;CACNA1B;KCNJ11;CACNB1;KCNF1;KCNA1;CACNB3;KCNA2
prerank,Single-Stranded DNA Helicase Activity (GO:0017116),-0.5896625117095544,-1.7825200960286591,0.005385996409335727,0.09475841004945257,0.637,12/20,23.85%,DSCC1;PIF1;RFC5;HELQ;RFC2;MCM6;MCM4;WRNIP1;MCM8;RFC4;MCM2;DNA2
prerank,"Oxidoreductase Activity, Acting On The CH-CH Group Of Donors, NAD Or NADP As Acceptor (GO:0016628)",0.593183278965505,1.7806095380873344,0.0064516129032258064,0.11393411297103109,0.69,10/17,22.42%,BDH2;LBR;TBXAS1;DECR1;TM7SF2;DHCR7;BLVRB;TECR;DHCR24;DPYD
prerank,MAP Kinase Kinase Kinase Activity (GO:0004709),-0.6112810009842791,-1.7729685027970148,0.005357142857142857,0.09631862055708441,0.683,7/17,9.28%,MAP3K13;MAP3K21;LRRK2;MAP3K10;MAP3K9;MAP3K12;MAP3K4
prerank,Histone H4K12 Acetyltransferase Activity (GO:0043997),-0.7178012307267021,-1.7718353257783177,0.0018148820326678765,0.09025365046993966,0.685,5/10,14.08%,KAT6A;JADE1;ING3;BRPF3;BRPF1
prerank,Cyclin-Dependent Protein Kinase Activity (GO:0097472),-0.6001464668933277,-1.7676712892618565,0.0017761989342806395,0.08188362607534216,0.695,11/20,24.70%,CDKL1;CDK13;CDK14;CDK9;CDKL3;CDK20;CDK19;CDK10;CDK11A;CDK11B;CDKL2
prerank,Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0004693),-0.6001464668933277,-1.7676712892618565,0.0017761989342806395,0.08188362607534216,0.695,11/20,24.70%,CDKL1;CDK13;CDK14;CDK9;CDKL3;CDK20;CDK19;CDK10;CDK11A;CDK11B;CDKL2
prerank,Promoter-Specific Chromatin Binding (GO:1990841),-0.5204205808048183,-1.766328451879691,0.005136986301369863,0.07835325544714719,0.7,17/33,27.84%,EGR1;KDM1A;SETDB1;NUP98;PRDM1;ZNF609;ZNF304;EZH2;GTF2F1;DNMT1;TRIM28;GTF2B;ZC3H4;ATF4;EHMT2;E2F4;PCGF1
prerank,Alcohol Dehydrogenase (NADP+) Activity (GO:0008106),0.6139284762752203,1.7541282790571118,0.004484304932735426,0.1336053994159933,0.772,9/14,17.37%,AKR1C3;AKR1C1;DHRS4;AKR1C4;RDH10;AKR7A2;RDH11;RDH14;RDH12
prerank,Chromatin DNA Binding (GO:0031490),-0.46773514770248165,-1.7513100241609656,0.001567398119122257,0.08672982681226372,0.767,18/55,18.08%,RBBP4;CLOCK;PER1;CTCF;JMJD1C;POLE3;SBNO2;SBNO1;MBD3;EZH2;GATAD2B;EP300;CREBBP;HR;ACTN4;SMARCC2;TOX;PPARGC1A
