roi_id,roi_name,tvs_value,pls1_score
1,ROI_001,-0.0063608367927372,-2.437413420865057
2,ROI_002,0.0006973480340093,-10.616351440006259
3,ROI_003,0.0044477558694779,-11.880480726141277
4,ROI_004,0.0220364537090063,-8.63253441829852
5,ROI_005,-0.0066475844942033,-3.732974898898491
6,ROI_006,-0.0222246199846267,-29.95276581452864
7,ROI_007,-0.030045311897993,-3.24786423659531
8,ROI_008,0.0134254293516278,7.935794928047344
9,ROI_009,-0.0004483727389015,4.275155605698978
10,ROI_010,-0.027412885800004,-4.691395532912072
11,ROI_011,0.0218426529318094,0.640966736383744
12,ROI_012,0.0433361642062664,-20.670432076754583
13,ROI_013,0.0210105255246162,4.13490805101669
14,ROI_014,0.0239268448203802,-20.06618860265802
15,ROI_015,0.0421713702380657,-19.528523272277084
16,ROI_016,0.0670321881771087,-3.539030597641032
17,ROI_017,0.0426301248371601,-13.526897706529786
18,ROI_018,0.0378021411597728,-15.154883412508202
19,ROI_019,-0.076383575797081,-35.8722564963494
20,ROI_020,-0.0294072572141885,-17.8917597926784
21,ROI_021,0.0384253188967704,-14.780722675402536
22,ROI_022,0.0643382370471954,-46.54779534248343
23,ROI_023,0.0503201894462108,-19.197064287504375
24,ROI_024,0.0435424484312534,-19.39825894268735
25,ROI_025,0.0174788646399974,-8.216241242488964
26,ROI_026,0.0511884987354278,0.871378388083071
27,ROI_027,-0.0548997074365615,-11.85432519749123
28,ROI_028,-0.0150335868820548,-29.628598231786256
29,ROI_029,0.0066181663423776,-13.410083299819123
30,ROI_030,0.0246058367192745,-19.086116132015096
31,ROI_031,0.0001561419776408,-24.211987761126185
32,ROI_032,0.0121509926393628,-44.977742901707146
33,ROI_033,-0.0516975633800029,-23.19577178216014
34,ROI_034,0.0168893486261367,-37.129651306856886
35,ROI_035,0.0117003424093127,-14.891782637776203
36,ROI_036,-0.0063831191509962,-6.306416261812914
37,ROI_037,-0.0263974647969007,-12.569342327227409
38,ROI_038,-0.0087162777781486,0.4986215558718424
39,ROI_039,-0.0326344594359397,-11.837926681462651
40,ROI_040,-0.0201600678265094,-39.46177923079299
41,ROI_041,-0.0089512756094336,-26.006348646268464
42,ROI_042,-0.0345070250332355,-26.730035309060003
43,ROI_043,-0.0347694940865039,-16.87150514405754
44,ROI_044,-0.0058871204964816,-9.670254954378253
45,ROI_045,-0.0188632979989051,-15.6945701843241
46,ROI_046,0.0081967655569314,-10.454589179739466
47,ROI_047,-0.0100952424108982,-13.80584199945979
48,ROI_048,-0.0186548307538032,-24.475053116737616
49,ROI_049,-0.0163860451430082,0.5259841178471713
50,ROI_050,-0.0357711873948574,-3.1711160773711553
51,ROI_051,-0.041002083569765,-7.803591075242886
52,ROI_052,-0.0161098390817642,-14.342904704702365
53,ROI_053,0.1071228981018066,-5.710577311474557
54,ROI_054,0.1273960471153259,12.503303975300867
55,ROI_055,0.0182482786476612,-0.04839381456929054
56,ROI_056,0.024551335722208,-13.25249871430767
57,ROI_057,0.0099068181589245,-23.344231856647568
58,ROI_058,0.0222646240144968,-6.7046665330148745
59,ROI_059,-0.04826670140028,0.19480369107864998
60,ROI_060,-0.0362473912537097,-42.14515277682638
61,ROI_061,-0.0035124300047755,-29.111020204124237
62,ROI_062,-0.032460793852806,-23.51599100238225
63,ROI_063,0.007933659479022,-10.55374221426459
64,ROI_064,0.0214925203472375,-2.88237258109536
65,ROI_065,-0.10616085678339,-32.2927896791382
66,ROI_066,-0.0605411306023597,-27.366811818482628
67,ROI_067,-0.0793335661292076,-6.431554814452631
68,ROI_068,-0.0493905022740364,-19.34032523061309
69,ROI_069,0.0393307134509086,20.430991020495675
70,ROI_070,0.0351430401206016,15.233427639762404
71,ROI_071,-0.0123318005353212,-32.599332132149996
72,ROI_072,-0.0157497711479663,-22.7252904074601
73,ROI_073,0.0220224242657423,-26.294798756292455
74,ROI_074,0.0384455397725105,-37.539197171011615
75,ROI_075,0.059463195502758,-35.30160876622176
76,ROI_076,0.0765429660677909,-25.281498840901264
77,ROI_077,0.0082045663148164,15.694754630433502
78,ROI_078,0.0520744584500789,-28.141601733868853
79,ROI_079,0.0651376992464065,-14.61166132549085
80,ROI_080,0.0364909842610359,-2.5961094476436726
81,ROI_081,-0.007548211608082,-19.162959518502806
82,ROI_082,-0.0045778788626194,-3.9725083123336185
83,ROI_083,0.0153020424768328,5.419409289583252
84,ROI_084,0.0251176431775093,-10.910914084803762
85,ROI_085,0.0407185554504394,-31.555241860189025
86,ROI_086,0.0893578082323074,-38.17918348799538
87,ROI_087,0.077837236225605,-10.01850181589356
88,ROI_088,0.0845462828874588,-3.4265865512853177
89,ROI_089,-0.0140663832426071,-6.668864553044378
90,ROI_090,0.007411434315145,-24.0279008895064
91,ROI_091,-0.0031057314481586,-30.017275991481412
92,ROI_092,0.0344322025775909,-17.6876491808744
93,ROI_093,0.007270832080394,-3.5063478473056726
94,ROI_094,0.0011244447669014,3.2623162297030732
95,ROI_095,-0.0109439017251133,10.103517358054889
96,ROI_096,-0.0129208089783787,7.583284040752853
97,ROI_097,-0.0357760302722454,-27.098220093258078
98,ROI_098,-0.0194398295134305,-15.687860029716864
99,ROI_099,-0.0641962811350822,-18.58371300026983
