Unnamed: 0,roi_id,roi_name,tvs_value
0,1,ROI_001,-0.0063608367927372
1,2,ROI_002,0.0006973480340093
2,3,ROI_003,0.0044477558694779
3,4,ROI_004,0.0220364537090063
4,5,ROI_005,-0.0066475844942033
5,6,ROI_006,-0.0222246199846267
6,7,ROI_007,-0.030045311897993
7,8,ROI_008,0.0134254293516278
8,9,ROI_009,-0.0004483727389015
9,10,ROI_010,-0.027412885800004
10,11,ROI_011,0.0218426529318094
11,12,ROI_012,0.0433361642062664
12,13,ROI_013,0.0210105255246162
13,14,ROI_014,0.0239268448203802
14,15,ROI_015,0.0421713702380657
15,16,ROI_016,0.0670321881771087
16,17,ROI_017,0.0426301248371601
17,18,ROI_018,0.0378021411597728
18,19,ROI_019,-0.076383575797081
19,20,ROI_020,-0.0294072572141885
20,21,ROI_021,0.0384253188967704
21,22,ROI_022,0.0643382370471954
22,23,ROI_023,0.0503201894462108
23,24,ROI_024,0.0435424484312534
24,25,ROI_025,0.0174788646399974
25,26,ROI_026,0.0511884987354278
26,27,ROI_027,-0.0548997074365615
27,28,ROI_028,-0.0150335868820548
28,29,ROI_029,0.0066181663423776
29,30,ROI_030,0.0246058367192745
30,31,ROI_031,0.0001561419776408
31,32,ROI_032,0.0121509926393628
32,33,ROI_033,-0.0516975633800029
33,34,ROI_034,0.0168893486261367
34,35,ROI_035,0.0117003424093127
35,36,ROI_036,-0.0063831191509962
36,37,ROI_037,-0.0263974647969007
37,38,ROI_038,-0.0087162777781486
38,39,ROI_039,-0.0326344594359397
39,40,ROI_040,-0.0201600678265094
40,41,ROI_041,-0.0089512756094336
41,42,ROI_042,-0.0345070250332355
42,43,ROI_043,-0.0347694940865039
43,44,ROI_044,-0.0058871204964816
44,45,ROI_045,-0.0188632979989051
45,46,ROI_046,0.0081967655569314
46,47,ROI_047,-0.0100952424108982
47,48,ROI_048,-0.0186548307538032
48,49,ROI_049,-0.0163860451430082
49,50,ROI_050,-0.0357711873948574
50,51,ROI_051,-0.041002083569765
51,52,ROI_052,-0.0161098390817642
52,53,ROI_053,0.1071228981018066
53,54,ROI_054,0.1273960471153259
54,55,ROI_055,0.0182482786476612
55,56,ROI_056,0.024551335722208
56,57,ROI_057,0.0099068181589245
57,58,ROI_058,0.0222646240144968
58,59,ROI_059,-0.04826670140028
59,60,ROI_060,-0.0362473912537097
60,61,ROI_061,-0.0035124300047755
61,62,ROI_062,-0.032460793852806
62,63,ROI_063,0.007933659479022
63,64,ROI_064,0.0214925203472375
64,65,ROI_065,-0.10616085678339
65,66,ROI_066,-0.0605411306023597
66,67,ROI_067,-0.0793335661292076
67,68,ROI_068,-0.0493905022740364
68,69,ROI_069,0.0393307134509086
69,70,ROI_070,0.0351430401206016
70,71,ROI_071,-0.0123318005353212
71,72,ROI_072,-0.0157497711479663
72,73,ROI_073,0.0220224242657423
73,74,ROI_074,0.0384455397725105
74,75,ROI_075,0.059463195502758
75,76,ROI_076,0.0765429660677909
76,77,ROI_077,0.0082045663148164
77,78,ROI_078,0.0520744584500789
78,79,ROI_079,0.0651376992464065
79,80,ROI_080,0.0364909842610359
80,81,ROI_081,-0.007548211608082
81,82,ROI_082,-0.0045778788626194
82,83,ROI_083,0.0153020424768328
83,84,ROI_084,0.0251176431775093
84,85,ROI_085,0.0407185554504394
85,86,ROI_086,0.0893578082323074
86,87,ROI_087,0.077837236225605
87,88,ROI_088,0.0845462828874588
88,89,ROI_089,-0.0140663832426071
89,90,ROI_090,0.007411434315145
90,91,ROI_091,-0.0031057314481586
91,92,ROI_092,0.0344322025775909
92,93,ROI_093,0.007270832080394
93,94,ROI_094,0.0011244447669014
94,95,ROI_095,-0.0109439017251133
95,96,ROI_096,-0.0129208089783787
96,97,ROI_097,-0.0357760302722454
97,98,ROI_098,-0.0194398295134305
98,99,ROI_099,-0.0641962811350822
99,100,ROI_100,-0.0194580294191837
100,101,ROI_101,-0.0281561128795146
101,102,ROI_102,0.0009499643929302
102,103,ROI_103,-0.0131873022764921
103,104,ROI_104,0.0007326727500185
104,105,ROI_105,-0.0366800054907798
105,106,ROI_106,-0.0400547236204147
106,107,ROI_107,-0.0253030713647604
107,108,ROI_108,0.0266274753957986
108,109,ROI_109,-0.0160172190517187
109,110,ROI_110,-0.0362984649837017
110,111,ROI_111,0.0105436667799949
111,112,ROI_112,-0.0048926761373877
112,113,ROI_113,-0.0515267513692378
113,114,ROI_114,-0.0409464389085769
114,115,ROI_115,-0.0277611464262008
115,116,ROI_116,-0.0260666906833648
116,117,ROI_117,-0.0109840473160147
117,118,ROI_118,0.0112835681065917
118,119,ROI_119,-0.0654366835951805
119,120,ROI_120,-0.0176340248435735
120,121,ROI_121,0.0157422460615634
121,122,ROI_122,0.0468124449253082
122,123,ROI_123,0.0871305242180824
123,124,ROI_124,0.0754332244396209
124,125,ROI_125,-0.1085901856422424
125,126,ROI_126,-0.0751045495271682
126,127,ROI_127,-0.0151356644928455
