Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ubiquinone and other terpenoid-quinone biosynthesis,-0.31986442173432605,-0.7818827462670845,0.7454545454545455,0.9686775349810611,1.0,1/10,1.89%,COQ3
prerank,Protein digestion and absorption,0.18077476782970173,0.7691952981354719,0.9124668435013262,0.938938876937229,1.0,18/65,20.64%,KCNQ1;COL8A2;SLC7A7;COL11A1;SLC6A19;COL1A2;COL9A1;ATP1B2;COL4A5;COL4A4;COL25A1;COL18A1;COL6A3;SLC3A2;CTRB1;COL9A2;PRCP;COL10A1
prerank,Hepatitis C,-0.17833370934268633,-0.7674292758559014,0.9237668161434978,0.9835086218314724,1.0,22/117,17.89%,PPP2R2D;PIK3R1;TICAM1;BID;PPP2R2C;TRAF3;PIK3R2;IRF3;GSK3B;EIF3E;AKT1;TRAF6;RAF1;AKT3;PPP2R2B;PIAS1;MYC;RNASEL;GRB2;IKBKG;AKT2;TRADD
prerank,Cocaine addiction,-0.20879846619530384,-0.7608705545575313,0.8741721854304636,0.9854786847505557,1.0,16/46,25.13%,GRIN2A;FOSB;ATF6B;GRIN1;DLG4;GRIA2;BDNF;CDK5R1;GNAS;ATF2;GNAI1;CREB1;DRD1;PDYN;ATF4;NFKB1
prerank,Butanoate metabolism,-0.24491768238468442,-0.7464991945923346,0.8101045296167247,0.9970125612471531,1.0,4/22,13.57%,L2HGDH;BDH1;AACS;OXCT2
prerank,PD-L1 expression and PD-1 checkpoint pathway in cancer,-0.18725418514738934,-0.7456502727723552,0.9215686274509803,0.9911574130132278,1.0,17/78,18.03%,PIK3R1;TICAM1;IFNGR2;PIK3R2;RPS6KB1;AKT1;TRAF6;RAF1;PPP3CA;MAPK13;AKT3;LAT;PPP3CB;JAK2;IKBKG;AKT2;MAPK14
prerank,Apoptosis,-0.16816449584950063,-0.7326823207819284,0.9632892804698973,0.9991203158454517,1.0,23/124,18.83%,PIK3R1;MAPK10;PARP2;ITPR1;BID;PIDD1;BBC3;PIK3R2;DFFB;CTSB;SPTAN1;AKT1;RAF1;HRK;AKT3;TP53AIP1;MAPK8;IKBKG;AKT2;ENDOG;TRADD;DAXX;DAB2IP
prerank,ABC transporters,-0.21585709840622253,-0.7260659959063318,0.8527508090614887,0.9990508276570613,1.0,4/32,10.24%,ABCC8;ABCC5;ABCB9;ABCB10
prerank,Thiamine metabolism,0.2636675737794474,0.7214720109014853,0.8454746136865342,0.9795353228538534,1.0,4/12,29.60%,AK4;ALPP;AK8;AK2
prerank,Inositol phosphate metabolism,-0.18544184930963703,-0.718251394637112,0.932475884244373,0.9994457662009377,1.0,20/69,28.75%,PIP5K1C;ITPKC;PLCB1;ITPK1;INPP5B;PIP5K1B;PIP5K1A;INPP5E;IMPA1;MTMR2;PIP4K2C;PIP4K2B;PI4KA;MTMR1;INPP4A;ITPKA;PIK3CA;MTMR14;PI4KB;PIK3CB
prerank,Gastric cancer,-0.1660609489270423,-0.7127544292379359,0.9733333333333334,0.997303560710625,1.0,23/118,19.22%,FGF17;PIK3R1;DDB2;FGF9;MET;PIK3R2;RARB;FZD3;RPS6KB1;GSK3B;AKT1;FRAT1;RAF1;AKT3;FGF18;MYC;RXRB;FZD4;SHC3;GRB2;AKT2;DVL3;DVL2
prerank,Pentose and glucuronate interconversions,-0.26534618963640755,-0.7067673507435103,0.8624338624338624,0.9956421991942076,1.0,1/12,1.20%,XYLB
prerank,Tight junction,0.14340976864159177,0.6958269467678352,0.9936708860759493,0.990457554849965,1.0,40/136,26.85%,PARD3;RAB13;MYL6;YBX3;TJP2;RAB8B;ARPC1B;CLDN14;TUBA1C;RDX;CDC42;EZR;MSN;HSPA4;RAB8A;AMOT;MYL12B;JAM3;MYL12A;PATJ;ARPC3;VASP;PARD6G;RHOA;CLDN11;ERBB2;MAP3K1;CLDN3;ARPC5;AMOTL1;TJP1;CDK4;MYH10;PRKAG2;HCLS1;CLDN15;NEDD4;CRB3;MICALL2;CGNL1
