gene,pls1_weight,boot_mean,boot_std,z_boot,p_boot
RSU1,0.018347340519590173,0.016804307046666536,0.0014983695130317992,12.244870414151837,0.0
CACHD1,0.01737790408476334,0.015954592109390854,0.0015788797203220625,11.006477479626229,0.0
CACNG4,0.015700616658080806,0.014406732894494545,0.001528506609283096,10.271867038536882,0.0
DRD2,0.017339688167371387,0.016120466340008147,0.0017518707345218888,9.89781256440912,0.0
TTC38,0.015691120258666556,0.014354702770031563,0.0015957305015489108,9.833189403496283,0.0
GPRIN2,0.018207792155618286,0.016729458879346668,0.0018561122293252383,9.809639669384353,0.0
LAMA1,0.018510199400773836,0.01700585347928533,0.0019450234200944479,9.51669743898251,0.0
DHRSX,0.01621167025596739,0.014814404133317065,0.0017308478717127707,9.366317237300027,0.0
OR7E14P,0.01662634422271614,0.015353768376050608,0.0017769593416766868,9.356626138124245,0.0
BDH2,0.01471042297472305,0.013433291436341954,0.0016073349433577745,9.152058216312092,0.0
TMEM173,0.022396368735395994,0.02088096725142638,0.0024578801961944894,9.112066881889548,0.0
RIT1,0.018460253438358786,0.01713503216334051,0.002031176379129278,9.08845417268603,0.0
FAM86FP,0.018496530753599794,0.016935920698232486,0.0020431953676132595,9.052747009311377,0.0
PLPP4,0.01597743103499111,0.01469283746939432,0.001793109500668902,8.910460308771375,0.0
ITGB7,0.016467487209764653,0.015179047175381613,0.0018594023204477166,8.85633358024396,0.0
FAM86EP,0.01655835008126357,0.015103945268155622,0.001884998723908209,8.784276546847089,0.0
FYB1,0.016025963270045913,0.01459942660663074,0.0018399996488577609,8.709764308919596,0.0
TMTC1,0.01693134002564876,0.015498471791406444,0.00195714753623033,8.651028965481204,0.0
FXN,0.014759955290492394,0.013483993044804155,0.0017143836712184184,8.609481960360975,0.0
EPHX2,0.014067413228786383,0.012873106979918844,0.001634435281801952,8.60689522883841,0.0
TMEM255A,0.01668119748965231,0.015329200354077248,0.0019397363889262316,8.599723954700062,0.0
ROBO1,0.017635391942031644,0.016222556740298426,0.002051443386080391,8.5965774447848,0.0
FAM111A,0.015299228145949757,0.014045758474618282,0.0017818019718564783,8.586379624448012,0.0
CRNDE,0.01385510466484305,0.012734946415223885,0.0016157214664236322,8.575181399001309,0.0
PSTPIP1,0.0188757353961097,0.017228954927010022,0.0022024081526450827,8.570498330856624,0.0
HSDL2,0.014521450893764151,0.013245275605535014,0.0017262061486965487,8.41235034687441,0.0
SOX11,0.015474157981876908,0.014087649496645876,0.0018402765397721964,8.408604711003065,0.0
BCHE,0.016252775308513576,0.01491264129686106,0.001933148383905421,8.40741220065016,0.0
VAT1,0.015636257163828073,0.014330763810165,0.0018656357187540721,8.38119521761217,0.0
TP53I3,0.01991046678143485,0.018343578317985783,0.0023914726022528083,8.32560940178819,0.0
DSEL,0.015833810523639722,0.014534502014580617,0.0019118626584882312,8.281876552869129,2.220446049250313e-16
UQCC2,0.017862802255831083,0.01643009889917337,0.0021783777076626026,8.200048225336392,2.220446049250313e-16
THBS4,0.01693317429847884,0.015530238378197593,0.00206714535668616,8.191574067933184,2.220446049250313e-16
KCNA5,0.017737656142937448,0.016283597117361624,0.0021664324044043865,8.187495768100842,2.220446049250313e-16
AQP5,0.015615131628094355,0.014388193265975855,0.0019110302497098326,8.171054137141644,2.220446049250313e-16
HVCN1,0.015132366190389546,0.013905299637556162,0.0018623163767140587,8.125561467214107,4.440892098500626e-16
ZNF229,0.0163112962449741,0.015023213802098322,0.002010782445617827,8.111914981415277,4.440892098500626e-16
ITGB2,0.016564485330627623,0.01523588376191466,0.0020446441481819563,8.101402557191346,4.440892098500626e-16
TNFAIP2,0.017443816972541066,0.016093847296257745,0.0021602137434524713,8.075042122758749,6.661338147750939e-16
DUSP16,0.017300658262283056,0.0160737682651486,0.0021568684307992914,8.021193140590308,1.1102230246251565e-15
ZFHX3,0.01493883382970568,0.013561349855581621,0.0018654003161184707,8.008379595855564,1.1102230246251565e-15
TRIP12,0.016653759057405265,0.015130050630985228,0.0020819518929457736,7.99910848748849,1.3322676295501878e-15
TRIL,0.015750571957244372,0.014464428343303465,0.0019708128552441907,7.99191659184343,1.3322676295501878e-15
EPHX1,0.015072094450264653,0.013881960164761592,0.001894508361855951,7.955675864897903,1.7763568394002505e-15
SUMO3,0.017020930814050848,0.015619735680059872,0.0021476940446506945,7.925212092683885,2.220446049250313e-15
ANO2,0.01592654630310811,0.01468112138820111,0.002010193948308187,7.922890384040882,2.220446049250313e-15
NALT1,0.015240400713700699,0.013947887737258899,0.0019297039109376815,7.897792312756979,2.886579864025407e-15
CCZ1P-OR7E38P,0.01406687081945543,0.012970070138514193,0.0017852469516133449,7.8795097825222795,3.3306690738754696e-15
APOC1,0.014894861675629763,0.013801457367976019,0.001895265154710277,7.8589856615111415,3.774758283725532e-15
MANF,0.017429383666400074,0.016080380739625623,0.002225499157801234,7.831673899000749,4.884981308350689e-15
SYCE3,0.014907635956308259,0.013712471579269143,0.0019045247993167065,7.827483244984117,4.884981308350689e-15
TRIP6,0.014012628293922908,0.012895131057208563,0.0017928370210933372,7.815896330262913,5.551115123125783e-15
MPZL1,0.015421575303288217,0.014072839615975052,0.00197930967228665,7.791390866832897,6.661338147750939e-15
ZFHX4,0.01427819378532249,0.013108332626503771,0.0018414035149577387,7.753973352033155,8.881784197001252e-15
LHFPL3,0.014978872703796883,0.013725563275907618,0.0019321798482278218,7.752318045100911,9.103828801926284e-15
SERPINB1,0.014403969707829836,0.013208768497093262,0.0018581745661040287,7.751677356143211,9.103828801926284e-15
PLEKHA7,0.015278789544599979,0.013895899255544786,0.0019793570588086205,7.719066894275415,1.176836406102666e-14
BCL7C,0.01512127863137017,0.013878490505281104,0.001962121160839797,7.706597805050016,1.2878587085651816e-14
PYGL,0.01731966600967804,0.01586887489889099,0.002253742753892215,7.684846009939229,1.532107773982716e-14
CMTM3,0.015067513744801676,0.013724723836285606,0.001965020872668545,7.667864476339956,1.7541523789077473e-14
LOC101927318,0.01561985116233939,0.014309375513797613,0.002042422357688396,7.647708664929551,2.042810365310288e-14
DERA,0.014259155751555445,0.013117123353919425,0.001873127184935728,7.612486683356056,2.6867397195928788e-14
SASH1,0.014159612034392548,0.012901559573327046,0.0018663747572031592,7.58669285455367,3.2862601528904634e-14
LRP10,0.013736029048308868,0.012564098862520356,0.0018118984876488258,7.581014688153504,3.419486915845482e-14
VAMP8,0.014674575309696541,0.01341769674152826,0.0019404296100113791,7.562539364471194,3.952393967665557e-14
LFNG,0.013825568390437276,0.012559797613831428,0.0018289421934583885,7.559324969311465,4.04121180963557e-14
IFI27L2,0.01534723342476984,0.013910497970309094,0.0020356786151666815,7.539123961133328,4.729550084903167e-14
ACHE,0.01614374581544657,0.014869660003978186,0.002149634604232236,7.509995319047477,5.906386491005833e-14
CLTCL1,0.015907199849786613,0.014432795404498691,0.002118526475192293,7.508615085087742,5.972999872483342e-14
PNP,0.014986619471174956,0.013744956494342226,0.00199758935891362,7.502352475148027,6.261657858885883e-14
TUBB2B,0.01609280617086142,0.014694154784518505,0.0021606959022835094,7.447973661566119,9.481304630298837e-14
TP53TG1,0.014291515906364658,0.013050580873396212,0.0019199950075305444,7.443517222863039,9.814371537686384e-14
PCBD2,0.01409415788766026,0.013003613899453325,0.001894392727487735,7.439934541108246,1.0080825063596421e-13
INHBB,0.01434700162376564,0.013105319689124843,0.0019361465750821595,7.4100803154104335,1.2612133559741778e-13
KLRC2,0.016872397032198144,0.01554153215666915,0.002281212561402371,7.396240629950709,1.4011014570769476e-13
DAPL1,0.015365794054769878,0.01394783076950179,0.0020834431070706648,7.375192537114339,1.6409096303959814e-13
NXN,0.015580580632690164,0.014361895342716233,0.002113918223619798,7.370474627921291,1.7008616737257398e-13
OPRM1,0.01830465406652216,0.016684327640515854,0.0024861486488761456,7.362654712861482,1.8030021919912542e-13
UACA,0.013897535211916492,0.012648135973400322,0.001889296824672727,7.355930010798536,1.8962609260597674e-13
ZC3HAV1,0.01496623811059815,0.013689927448541533,0.0020355329212997718,7.3524913078004115,1.9451107391432743e-13
ORAI1,0.014533770024333391,0.013373069680549639,0.001980786062079068,7.337374945519603,2.1782575743145571e-13
PBXIP1,0.015572375707867462,0.014260174349646677,0.002124403679572362,7.330233824016982,2.298161660974074e-13
SDF2L1,0.01651732260202933,0.015416489032360614,0.0022534910435248958,7.329659751473005,2.3070434451710753e-13
NPC2,0.013552731374407614,0.012308680148799942,0.0018530593820618396,7.313705920923012,2.5979218776228663e-13
TST,0.013148065826410977,0.012013352742840556,0.0017996794401825879,7.305782092547009,2.7555735471196385e-13
