"G_front_sup","S_central","S_temporal_sup","G_and_S_paracentral","G_precentral","G_postcentral","G_front_sup","S_intrapariet_and_P_trans","G_pariet_inf-Supramar","G_orbital","S_temporal_sup","G_and_S_paracentral","mean"
2.764503325497448,1.918822520042174,2.2937432525914314,2.450312683804774,2.594731365041221,1.9564164748522046,2.8288896197948996,1.9656805046981034,2.7201681685311065,2.7273316258005234,2.4094257528439984,2.3032345986911946,2.4111049910157565
2.957520674687782,1.924350293322118,2.5438866295703826,2.3952141516435312,2.8242755758934592,2.2446420185924016,3.026729976982371,2.2000107229494565,2.629992269655581,2.8592323386632996,2.66180437185299,2.624735087995798,2.5743661759840974
2.8512706064115627,1.9584808305700376,2.5744247650850562,2.2044129266180623,2.8485772823770716,2.17858812264752,2.769832215992937,2.1756539640232644,2.573081355922657,2.7507490577382754,2.5898398959482387,2.2302826206973743,2.4754328036693383
2.8638358233740195,1.9093973709647132,2.4172694208842276,2.2882508276109124,2.8459094431870247,2.1766889331754573,2.901705459423293,2.0864392602613715,2.8063204170924316,2.7837799290112866,2.531806607651555,2.144743812231111,2.4796789420722836
2.8524265643355675,1.8576700634280987,2.4724075165888806,2.5485103978762322,2.723519353336348,2.0442899315742458,2.853612646221842,2.206104302841117,2.8766080277127775,2.657514055328896,2.596356711921731,2.1544192254963055,2.48695323305517
2.9419104218170533,1.962217147048528,2.654831776921367,2.5281332604272264,2.9350637560412363,2.0065952473197712,2.953845573159656,2.347914374011238,2.835596048701003,2.808274180189222,2.700182853471648,2.5735983048421396,2.6040135786625074
3.1623629605398027,2.0896901612025625,2.6943448046743734,2.5413875927702643,3.0862995953874814,2.3837535124145774,3.16252120784485,2.199878971320824,2.90200215227966,3.2566474175911218,2.833363485583797,2.530208051414557,2.736871659418656
3.0812425814783797,1.995150966667576,2.4444112776263025,2.3529131511147594,2.9940530961942624,2.2245300673935686,3.108117190854349,2.1889441944824246,2.773723278767514,2.7572498105775236,2.5986011366989006,2.433368894363373,2.579358803851578
3.0192338817029274,1.7788601271447293,2.653847386417033,2.301815986633301,2.704185293001287,2.007969543613848,2.95388056269257,2.118530142326792,2.8223638763685055,2.9445438866346905,2.7089112376946756,2.3424756953518995,2.5297181349651883
3.052720249224652,1.9866864669842113,2.4348283839540477,2.4403416729519063,2.811497355362456,1.9484466178086315,2.9646099505459658,2.1614066619083707,2.7237557823188894,2.9117198435594065,2.6187139130488095,2.345305676821252,2.53333604787405
