subject,run,state1_dcmean,state2_dcmean,state3_dcmean,state4_dcmean,state5_dcmean,state6_dcmean,state7_dcmean,state8_dcmean,state9_dcmean,state10_dcmean
sub-001,RW,-0.10197127319004938,-0.1768920091301701,0.12796511944494926,0.10360952990843025,0.23693339827777862,0.10310955543491844,-0.27219162146218207,0.21598365121277113,0.06547422656888867,0.21773609179559758
sub-001,SD,0.05608362539753409,-0.1088943514074979,-0.054942097004999864,-0.17326083254869387,0.026640895632310226,0.032048952233898184,0.05090409355811742,0.05717952224443014,0.03085285000147625,-0.06536809877515018
sub-002,RW,-0.14164577275915308,-0.250525914352734,-0.15158631370720313,-0.08160124247661163,0.07159384657841604,0.3326125612329146,-0.0921732158618464,0.21568729446523485,0.08874702835652422,-0.3597407375526149
sub-002,SD,0.07455428014153846,-0.03373544232615943,0.1284195832698994,0.17323181127150164,0.05516019281601404,0.3116425599382505,-0.1785011019153546,0.05941086293976014,-0.15846002337591691,0.01873057607190965
sub-003,RW,0.07206208735715494,-0.005417731351402115,-0.195147434429175,-0.20449823866554676,-0.17363588176901784,-0.15348423477177975,0.22977715138530627,-0.22180034973326476,0.050016631591113636,-0.17185878720975992
sub-003,SD,-0.10566622474393064,-0.42768560044519965,-0.057573887364956305,-0.15739069668619163,-0.07036359329035392,0.10382687676258945,0.12748964648758396,0.10784959946912266,0.2225408679420123,-0.15735850439362956
sub-004,RW,-0.24364619612506547,-0.3264069019300387,0.45534879297644293,0.5129803818595343,0.3492219849230214,0.5146515406535329,-0.48053879849528847,0.31222818578590383,0.08699170645050182,-0.28341507107971853
sub-004,SD,0.16753920409960982,-0.47276480325165493,0.26687515517524674,0.07044171706457455,0.3307769125798405,0.5141945217760464,-0.0363621729228221,0.2796604873624311,-0.21142496765568586,-0.32353310345802905
sub-005,RW,0.05735091866457853,-0.10061990605135958,-0.031665334717887364,-0.021562865744259165,-0.005923805160244385,0.08065791318087435,-0.05801705819202085,0.2259240150908878,0.028345769389162796,-0.18628909700585444
sub-005,SD,0.04088991603987501,-0.3193253357042416,0.0046185600119262775,-0.003918102541311347,0.16828110104644675,0.2506752201063525,0.024937639830755504,0.19024624334880286,0.017021512581102852,-0.1933468546888723
sub-006,RW,0.09952716121945089,-0.021396072107323034,-0.24541875409015024,-0.2348650850343524,0.034990154762938,-0.06266572348245798,0.0019251513147747162,0.01379145717343741,0.02076035822041857,-0.053435968288982776
sub-006,SD,0.08668245703628828,-0.20264856499404293,-0.042952509493122557,-0.06530353806775054,0.23155533104852197,0.3646351223731047,-0.2433023346110696,0.2284761815002753,-0.07086390484726351,0.017214721477598928
sub-007,RW,-0.09828104505561289,-0.11690705322192994,-0.018736316016146577,-0.025729846536251145,-0.1246404553154615,0.1735831731204301,0.023051833383982975,0.012435700392035866,0.09834332903225666,-0.06456335269612613
sub-007,SD,0.09554026541867855,-0.17160545555717527,0.23392528383513975,0.037534202197480056,0.28473559880643456,0.31838908984598946,-0.059495305691711846,0.1263935624630797,-0.21180414733693936,0.1424111835900706
sub-008,RW,-0.16395952495360103,-0.1451509832022894,0.33151547039218066,0.3183803741907297,0.3034755319960219,0.3687982004690207,-0.4318220907758488,0.34765156488695326,-0.020523741395354983,-0.1489447739300837
sub-008,SD,0.1667515526300146,-0.41286769635594806,0.12030836208626766,-0.06962456335936093,0.3722018451472141,0.35495032979322516,-0.15745371879546197,0.37995120917036096,-0.26786969744117284,0.034683944661884264
sub-009,RW,-0.2650546749794195,0.35701828891187154,0.30162751773291246,0.12224162084520501,-0.20573644679444433,-0.1578462794831755,0.1191488216412694,-0.2555368352863254,0.07670660559251159,0.2812203172860445
sub-009,SD,0.006341846981112167,0.12229214683719354,0.19561345510615055,-0.04381725116148671,-0.14001660621119771,-0.11172393701522787,0.09418925533558056,-0.10063943463302043,-0.034086208468987654,-0.03497860510604221
sub-010,RW,-0.03700656380663584,0.09001970705933209,-0.32598304379154097,-0.15735516613482214,-0.2039591719549692,-0.10008412684605675,0.13286546110668268,-0.08215431798487449,0.13193044269175155,-0.32337417296207516
sub-010,SD,0.04891829696344347,-0.31428391492730695,0.08210698383188318,-0.2371981781898209,-0.11441287661307747,-0.2772222202357051,0.24709967338844502,0.12424078290978394,0.15438094474302838,-0.02784051606338111
sub-011,RW,0.40946384474137504,-0.29704260489663115,-0.1415321009655494,-0.29927231995157194,0.16925647040060976,0.015355272417530314,0.23325610570936559,0.23914001647413374,-0.15122763567843966,-0.24722184316067036
sub-011,SD,0.21095886434136624,-0.2696237665449732,0.10829225534295579,-0.1876715326364763,0.03397034925030932,0.10444805852427692,0.25335121431381424,-0.0006324367590304357,-0.15690170470663564,-0.19820942402082267
sub-012,RW,-0.15628847379081445,-0.1051268862292901,0.24755109541483367,0.03255334755089194,0.03885611144733028,0.016199846258059546,-0.09552782981687692,0.19293467790419533,0.1867250706188702,-0.044656651506835
sub-012,SD,0.03901345744396444,-0.45529518612724257,0.1730747653173441,-0.34117795461345624,0.12441873126316988,0.17662929578256872,0.10549110613850642,0.3549243709951155,0.14264081691650346,-0.03617649527562682
sub-013,RW,0.133694956254589,-0.13402829602989064,0.044351934821467744,0.09664087136146732,0.025267360540145604,0.07849263507581065,-0.19346960641743524,0.21381088359911077,-0.003173360687441666,-0.22332913232628562
sub-013,SD,0.06586861750071361,-0.4031257495902395,0.2711922912315795,-0.04875405443261875,0.16994251009236774,0.29536331756747836,-0.1395431665453528,0.3276179582490599,-0.014595478283060428,-0.11157255946401369
sub-014,RW,0.0574575545864418,0.05073580211803909,-0.19099155119634792,-0.29472340243179557,0.003986191083040976,0.09566113040386562,0.12289608070719654,0.07656209306811186,-0.1536593464302072,0.21104471110892847
sub-014,SD,0.06505502794279118,-0.09090322478615785,0.08930694906993182,-0.05466746420025601,0.025500618077376466,0.09838321749090015,-0.1057678590538201,0.15304360025233893,-0.0324038630919118,-0.10711691841323215
sub-015,RW,-0.04458168985265951,-0.26998650628802645,-0.1400631997822729,-0.004343679267720469,0.08269757639974647,0.24749899726860122,-0.15532673700022562,0.3423392670279204,0.08774974360013853,-0.10979581036069837
sub-015,SD,0.04451848187254752,-0.2999038526424444,-0.003956708001766964,0.1487225493066982,0.08065632769276146,0.3803040402790105,-0.19067257829673684,0.1757049979118396,-0.06532623601543913,0.015972827143486346
sub-016,RW,0.04165321022316843,-0.020956207066800396,0.0578308763002791,0.06756379657097389,0.2760287963091037,0.19812222164044926,-0.07059139169320358,0.2716553946183276,-0.11852349296575021,-0.0244370729113378
sub-016,SD,0.1343250902820684,-0.2931018126224113,-0.1069441752980582,-0.22324325092222724,0.056902777616027404,0.3068669395288317,-0.1543014948017373,0.3277309267177193,-0.02124421252849637,-0.181970898336581
sub-017,RW,0.22317037480154445,0.017889403520440245,0.20541325330806634,0.11101718043869171,0.2538614103373765,-0.0006126857959908256,0.10464576637553612,0.02673031144387276,-0.3297007231103391,0.2253824753377193
sub-017,SD,-0.061416370278255424,-0.2335218679874491,0.18571180769500104,0.19098138923819688,0.10285358607359157,0.16272085779782844,-0.11084295544079988,0.3127522617622131,-0.07824446569662522,0.0973874307631707
sub-018,RW,0.07580635348666481,-0.03465920225411485,-0.18282303346980802,-0.3229518326559826,-0.13119642811671392,-0.04254915871839159,0.22444335787088654,0.03476987623558133,0.022517012557581217,-0.15175027757726173
sub-018,SD,0.01552854469699717,0.21188113544980308,-0.24661024753792413,-0.22119659084706636,-0.05965182251194984,-0.25368865015070813,0.0316450075098913,0.3219810656282712,0.11562806809861004,0.010158003936952955
