,name,x.mni,y.mni,z.mni,lobe,hemi,index,gyrus,gyrus.full,subregion,subregion.full,Yeo_7network,Yeo_17network
14,SFG_R_7_7,8,58,13,Frontal,R,14,SFG,Superior Frontal Gyrus,A10m,medial area 10,Default,Visual C
15,MFG_L_7_1,-27,43,31,Frontal,L,15,MFG,Middle Frontal Gyrus,A9/46d,dorsal area 9/46,Ventral Attention,Salience/VenAttn A
16,MFG_R_7_1,30,37,36,Frontal,R,16,MFG,Middle Frontal Gyrus,A9/46d,dorsal area 9/46,Frontoparietal,Control B
17,MFG_L_7_2,-42,13,36,Frontal,L,17,MFG,Middle Frontal Gyrus,IFJ,inferior frontal junction,Frontoparietal,Control C
18,MFG_R_7_2,42,11,39,Frontal,R,18,MFG,Middle Frontal Gyrus,IFJ,inferior frontal junction,Frontoparietal,Control C
19,MFG_L_7_3,-28,56,12,Frontal,L,19,MFG,Middle Frontal Gyrus,A46,area 46,Frontoparietal,Default A
20,MFG_R_7_3,28,55,17,Frontal,R,20,MFG,Middle Frontal Gyrus,A46,area 46,Frontoparietal,Default A
21,MFG_L_7_4,-41,41,16,Frontal,L,21,MFG,Middle Frontal Gyrus,A9/46v,ventral area 9/46,Frontoparietal,Control C
22,MFG_R_7_4,42,44,14,Frontal,R,22,MFG,Middle Frontal Gyrus,A9/46v,ventral area 9/46,Frontoparietal,Salience/VenAttn A
23,MFG_L_7_5,-33,23,45,Frontal,L,23,MFG,Middle Frontal Gyrus,A8vl,ventrolateral area 8,Default,Visual C
24,MFG_R_7_5,42,27,39,Frontal,R,24,MFG,Middle Frontal Gyrus,A8vl,ventrolateral area 8,Frontoparietal,Default A
25,MFG_L_7_6,-32,4,55,Frontal,L,25,MFG,Middle Frontal Gyrus,A6vl,ventrolateral area 6,Dorsal Attention,Dorsal Attention A
26,MFG_R_7_6,34,8,54,Frontal,R,26,MFG,Middle Frontal Gyrus,A6vl,ventrolateral area 6,Dorsal Attention,Control C
27,MFG_L_7_7,-26,60,-6,Frontal,L,27,MFG,Middle Frontal Gyrus,A10l,lateral area10,Limbic,Control A
28,MFG_R_7_7,25,61,-4,Frontal,R,28,MFG,Middle Frontal Gyrus,A10l,lateral area 10,Frontoparietal,Default A
29,IFG_L_6_1,-46,13,24,Frontal,L,29,IFG,Inferior Frontal Gyrus,A44d,dorsal area 44,Frontoparietal,Control C
30,IFG_R_6_1,45,16,25,Frontal,R,30,IFG,Inferior Frontal Gyrus,A44d,dorsal area 44,Dorsal Attention,Control C
31,IFG_L_6_2,-47,32,14,Frontal,L,31,IFG,Inferior Frontal Gyrus,IFS,inferior frontal sulcus,Frontoparietal,Control C
32,IFG_R_6_2,48,35,13,Frontal,R,32,IFG,Inferior Frontal Gyrus,IFS,inferior frontal sulcus,Frontoparietal,Control C
33,IFG_L_6_3,-53,23,11,Frontal,L,33,IFG,Inferior Frontal Gyrus,A45c,caudal area 45,Default,Auditory
34,IFG_R_6_3,54,24,12,Frontal,R,34,IFG,Inferior Frontal Gyrus,A45c,caudal area 45,Default,Auditory
35,IFG_L_6_4,-49,36,-3,Frontal,L,35,IFG,Inferior Frontal Gyrus,A45r,rostral area 45,Default,Auditory
36,IFG_R_6_4,51,36,-1,Frontal,R,36,IFG,Inferior Frontal Gyrus,A45r,rostral area 45,Frontoparietal,Salience/VenAttn A
37,IFG_L_6_5,-39,23,4,Frontal,L,37,IFG,Inferior Frontal Gyrus,A44op,opercular area 44,Ventral Attention,Dorsal Attention B
38,IFG_R_6_5,42,22,3,Frontal,R,38,IFG,Inferior Frontal Gyrus,A44op,opercular area 44,Ventral Attention,Salience/VenAttn A
39,IFG_L_6_6,-52,13,6,Frontal,L,39,IFG,Inferior Frontal Gyrus,A44v,ventral area 44,Ventral Attention,Salience/VenAttn A
40,IFG_R_6_6,54,14,11,Frontal,R,40,IFG,Inferior Frontal Gyrus,A44v,ventral area 44,Ventral Attention,Salience/VenAttn A
41,OrG_L_6_1,-7,54,-7,Frontal,L,41,OrG,Orbital Gyrus,A14m,medial area 14,Default,Visual C
42,OrG_R_6_1,6,47,-7,Frontal,R,42,OrG,Orbital Gyrus,A14m,medial area 14,Default,Visual C
