,name,x.mni,y.mni,z.mni,lobe,hemi,index,gyrus,gyrus.full,subregion,subregion.full,Yeo_7network,Yeo_17network
188,CG_R_7_7,5,41,6,Limbic,R,188,CG,Cingulate Gyrus,A32sg,subgenual area 32,Default,Visual C
189,MVOcC_L_5_1,-11,-82,-11,Occipital,L,189,MVOcC,MedioVentral Occipital Cortex,cLinG,caudal lingual gyrus,Visual,Visual A
190,MVOcC_R_5_1,10,-85,-9,Occipital,R,190,MVOcC,MedioVentral Occipital Cortex,cLinG,caudal lingual gyrus,Visual,Visual A
191,MVOcC_L_5_2,-5,-81,10,Occipital,L,191,MVOcC,MedioVentral Occipital Cortex,rCunG,rostral cuneus gyrus,Visual,Visual B
192,MVOcC_R_5_2,7,-76,11,Occipital,R,192,MVOcC,MedioVentral Occipital Cortex,rCunG,rostral cuneus gyrus,Visual,Visual B
193,MVOcC_L_5_3,-6,-94,1,Occipital,L,193,MVOcC,MedioVentral Occipital Cortex,cCunG,caudal cuneus gyrus,Visual,Visual A
194,MVOcC_R_5_3,8,-90,12,Occipital,R,194,MVOcC,MedioVentral Occipital Cortex,cCunG,caudal cuneus gyrus,Visual,Visual A
195,MVOcC_L_5_4,-17,-60,-6,Occipital,L,195,MVOcC,MedioVentral Occipital Cortex,rLinG,rostral lingual gyrus,Visual,Visual B
196,MVOcC_R_5_4,18,-60,-7,Occipital,R,196,MVOcC,MedioVentral Occipital Cortex,rLinG,rostral lingual gyrus,Visual,Visual A
197,MVOcC_L_5_5,-13,-68,12,Occipital,L,197,MVOcC,MedioVentral Occipital Cortex,vmPOS,ventromedial parietooccipital sulcus,Visual,Visual B
198,MVOcC_R_5_5,15,-63,12,Occipital,R,198,MVOcC,MedioVentral Occipital Cortex,vmPOS,ventromedial parietooccipital sulcus,Visual,Visual B
199,LOcC_L_4_1,-31,-89,11,Occipital,L,199,LOcC,lateral Occipital Cortex,mOccG,middle occipital gyrus,Visual,Visual A
200,LOcC_R_4_1,34,-86,11,Occipital,R,200,LOcC,lateral Occipital Cortex,mOccG,middle occipital gyrus,Visual,Visual A
201,LOcC_L_4_2,-46,-74,3,Occipital,L,201,LOcC,lateral Occipital Cortex,V5/MT+,area V5/MT+,Dorsal Attention,Temporal Parietal
202,LOcC_R_4_2,48,-70,-1,Occipital,R,202,LOcC,lateral Occipital Cortex,V5/MT+,area V5/MT+,Visual,Temporal Parietal
203,LOcC_L_4_3,-18,-99,2,Occipital,L,203,LOcC,lateral Occipital Cortex,OPC,occipital polar cortex,Visual,Visual A
204,LOcC_R_4_3,22,-97,4,Occipital,R,204,LOcC,lateral Occipital Cortex,OPC,occipital polar cortex,Visual,Visual A
205,LOcC_L_4_4,-30,-88,-12,Occipital,L,205,LOcC,lateral Occipital Cortex,iOccG,inferior occipital gyrus,Visual,Visual A
206,LOcC_R_4_4,32,-85,-12,Occipital,R,206,LOcC,lateral Occipital Cortex,iOccG,inferior occipital gyrus,Visual,Visual A
207,LOcC_L_2_1,-11,-88,31,Occipital,L,207,LOcC,lateral Occipital Cortex,msOccG,medial superior occipital gyrus,Visual,Visual B
208,LOcC_R_2_1,16,-85,34,Occipital,R,208,LOcC,lateral Occipital Cortex,msOccG,medial superior occipital gyrus,Visual,Visual B
209,LOcC_L_2_2,-22,-77,36,Occipital,L,209,LOcC,lateral Occipital Cortex,lsOccG,lateral superior occipital gyrus,Visual,Visual A
210,LOcC_R_2_2,29,-75,36,Occipital,R,210,LOcC,lateral Occipital Cortex,lsOccG,lateral superior occipital gyrus,Visual,Temporal Parietal
211,Amyg_L_2_1,-19,-2,-20,SCGM,L,211,Amyg,Amygdala,mAmyg,medial amygdala,SCGM,SCGM
212,Amyg_R_2_1,19,-2,-19,SCGM,R,212,Amyg,Amygdala,mAmyg,medial amygdala,SCGM,SCGM
213,Amyg_L_2_2,-27,-4,-20,SCGM,L,213,Amyg,Amygdala,lAmyg,lateral amygdala,SCGM,SCGM
214,Amyg_R_2_2,28,-3,-20,SCGM,R,214,Amyg,Amygdala,lAmyg,lateral amygdala,SCGM,SCGM
215,Hipp_L_2_1,-22,-14,-19,SCGM,L,215,Hipp,Hippocampus,rHipp,rostral hippocampus,SCGM,SCGM
216,Hipp_R_2_1,22,-12,-20,SCGM,R,216,Hipp,Hippocampus,rHipp,rostral hippocampus,SCGM,SCGM
217,Hipp_L_2_2,-28,-30,-10,SCGM,L,217,Hipp,Hippocampus,cHipp,caudal hippocampus,SCGM,SCGM
218,Hipp_R_2_2,29,-27,-10,SCGM,R,218,Hipp,Hippocampus,cHipp,caudal hippocampus,SCGM,SCGM
219,BG_L_6_1,-12,14,0,SCGM,L,219,BG,Basal Ganglia,vCa,ventral caudate,SCGM,SCGM
220,BG_R_6_1,15,14,-2,SCGM,R,220,BG,Basal Ganglia,vCa,ventral caudate,SCGM,SCGM
221,BG_L_6_2,-22,-2,4,SCGM,L,221,BG,Basal Ganglia,GP,globus pallidus,SCGM,SCGM
222,BG_R_6_2,22,-2,3,SCGM,R,222,BG,Basal Ganglia,GP,globus pallidus,SCGM,SCGM
223,BG_L_6_3,-17,3,-9,SCGM,L,223,BG,Basal Ganglia,NAC,nucleus accumbens,SCGM,SCGM
224,BG_R_6_3,15,8,-9,SCGM,R,224,BG,Basal Ganglia,NAC,nucleus accumbens,SCGM,SCGM
225,BG_L_6_4,-23,7,-4,SCGM,L,225,BG,Basal Ganglia,vmPu,ventromedial putamen,SCGM,SCGM
226,BG_R_6_4,22,8,-1,SCGM,R,226,BG,Basal Ganglia,vmPu,ventromedial putamen,SCGM,SCGM
227,BG_L_6_5,-14,2,16,SCGM,L,227,BG,Basal Ganglia,dCa,dorsal caudate,SCGM,SCGM
228,BG_R_6_5,14,5,14,SCGM,R,228,BG,Basal Ganglia,dCa,dorsal caudate,SCGM,SCGM
229,BG_L_6_6,-28,-5,2,SCGM,L,229,BG,Basal Ganglia,dlPu,dorsolateral putamen,SCGM,SCGM
230,BG_R_6_6,29,-3,1,SCGM,R,230,BG,Basal Ganglia,dlPu,dorsolateral putamen,SCGM,SCGM
231,Tha_L_8_1,-7,-12,5,SCGM,L,231,Tha,Thalamus,mPFtha,medial pre-frontal thalamus,Thalamus,SCGM
232,Tha_R_8_1,7,-11,6,SCGM,R,232,Tha,Thalamus,mPFtha,medial pre-frontal thalamus,Thalamus,SCGM
233,Tha_L_8_2,-18,-13,3,SCGM,L,233,Tha,Thalamus,mPMtha,pre-motor thalamus,Thalamus,SCGM
234,Tha_R_8_2,12,-14,1,SCGM,R,234,Tha,Thalamus,mPMtha,pre-motor thalamus,Thalamus,SCGM
235,Tha_L_8_3,-18,-23,4,SCGM,L,235,Tha,Thalamus,Stha,sensory thalamus,Thalamus,SCGM
236,Tha_R_8_3,18,-22,3,SCGM,R,236,Tha,Thalamus,Stha,sensory thalamus,Thalamus,SCGM
237,Tha_L_8_4,-7,-14,7,SCGM,L,237,Tha,Thalamus,rTtha,rostral temporal thalamus,Thalamus,SCGM
238,Tha_R_8_4,3,-13,5,SCGM,R,238,Tha,Thalamus,rTtha,rostral temporal thalamus,Thalamus,SCGM
239,Tha_L_8_5,-16,-24,6,SCGM,L,239,Tha,Thalamus,PPtha,posterior parietal thalamus,Thalamus,SCGM
240,Tha_R_8_5,15,-25,6,SCGM,R,240,Tha,Thalamus,PPtha,posterior parietal thalamus,Thalamus,SCGM
241,Tha_L_8_6,-15,-28,4,SCGM,L,241,Tha,Thalamus,Otha,occipital thalamus,Thalamus,SCGM
242,Tha_R_8_6,13,-27,8,SCGM,R,242,Tha,Thalamus,Otha,occipital thalamus,Thalamus,SCGM
243,Tha_L_8_7,-12,-22,13,SCGM,L,243,Tha,Thalamus,cTtha,caudal temporal thalamus,Thalamus,SCGM
244,Tha_R_8_7,10,-14,14,SCGM,R,244,Tha,Thalamus,cTtha,caudal temporal thalamus,Thalamus,SCGM
245,Tha_L_8_8,-11,-14,2,SCGM,L,245,Tha,Thalamus,lPFtha,lateral pre-frontal thalamus,Thalamus,SCGM
246,Tha_R_8_8,13,-16,7,SCGM,R,246,Tha,Thalamus,lPFtha,lateral pre-frontal thalamus,Thalamus,SCGM
