,roi_id,roi_name,tvs_value
0,1,ROI_001,-0.0063608367927372456
1,2,ROI_002,0.0006973480340093374
2,3,ROI_003,0.004447755869477987
3,4,ROI_004,0.02203645370900631
4,5,ROI_005,-0.006647584494203329
5,6,ROI_006,-0.022224619984626767
6,7,ROI_007,-0.030045311897993088
7,8,ROI_008,0.013425429351627827
8,9,ROI_009,-0.0004483727389015257
9,10,ROI_010,-0.027412885800004005
10,11,ROI_011,0.021842652931809425
11,12,ROI_012,0.0433361642062664
12,13,ROI_013,0.02101052552461624
13,14,ROI_014,0.023926844820380207
14,15,ROI_015,0.04217137023806572
15,16,ROI_016,0.06703218817710876
16,17,ROI_017,0.04263012483716011
17,18,ROI_018,0.03780214115977287
18,19,ROI_019,-0.076383575797081
19,20,ROI_020,-0.029407257214188572
20,21,ROI_021,0.03842531889677048
21,22,ROI_022,0.06433823704719543
22,23,ROI_023,0.05032018944621086
23,24,ROI_024,0.04354244843125343
24,25,ROI_025,0.017478864639997482
25,26,ROI_026,0.051188498735427856
26,27,ROI_027,-0.054899707436561584
27,28,ROI_028,-0.015033586882054804
28,29,ROI_029,0.0066181663423776635
29,30,ROI_030,0.02460583671927452
30,31,ROI_031,0.00015614197764080015
31,32,ROI_032,0.012150992639362812
32,33,ROI_033,-0.051697563380002975
33,34,ROI_034,0.01688934862613678
34,35,ROI_035,0.011700342409312723
35,36,ROI_036,-0.006383119150996208
36,37,ROI_037,-0.02639746479690075
37,38,ROI_038,-0.008716277778148651
38,39,ROI_039,-0.03263445943593979
39,40,ROI_040,-0.020160067826509476
40,41,ROI_041,-0.008951275609433651
41,42,ROI_042,-0.03450702503323555
42,43,ROI_043,-0.03476949408650398
43,44,ROI_044,-0.005887120496481657
44,45,ROI_045,-0.01886329799890518
45,46,ROI_046,0.008196765556931494
46,47,ROI_047,-0.010095242410898209
47,48,ROI_048,-0.018654830753803253
48,49,ROI_049,-0.016386045143008232
49,50,ROI_050,-0.03577118739485741
50,51,ROI_051,-0.04100208356976509
51,52,ROI_052,-0.01610983908176422
52,53,ROI_053,0.10712289810180664
53,54,ROI_054,0.12739604711532593
54,55,ROI_055,0.01824827864766121
55,56,ROI_056,0.024551335722208023
56,57,ROI_057,0.00990681815892458
57,58,ROI_058,0.022264624014496803
58,59,ROI_059,-0.04826670140028
59,60,ROI_060,-0.03624739125370979
60,61,ROI_061,-0.003512430004775524
61,62,ROI_062,-0.03246079385280609
62,63,ROI_063,0.007933659479022026
63,64,ROI_064,0.021492520347237584
64,65,ROI_065,-0.10616085678339005
65,66,ROI_066,-0.060541130602359765
66,67,ROI_067,-0.07933356612920761
67,68,ROI_068,-0.04939050227403641
68,69,ROI_069,0.039330713450908654
69,70,ROI_070,0.035143040120601654
70,71,ROI_071,-0.012331800535321236
71,72,ROI_072,-0.015749771147966385
72,73,ROI_073,0.0220224242657423
73,74,ROI_074,0.03844553977251053
