sub,session,CloseEye_central_alpha_mean_db,CloseEye_central_alpha_mean_linear,CloseEye_central_alpha_n_epochs_used,CloseEye_central_alpha_sd_linear,CloseEye_frontal_beta_mean_db,CloseEye_frontal_beta_mean_linear,CloseEye_frontal_beta_n_epochs_used,CloseEye_frontal_beta_sd_linear,CloseEye_frontal_theta_mean_db,CloseEye_frontal_theta_mean_linear,CloseEye_frontal_theta_n_epochs_used,CloseEye_frontal_theta_sd_linear,CloseEye_frontocentral_theta_mean_db,CloseEye_frontocentral_theta_mean_linear,CloseEye_frontocentral_theta_n_epochs_used,CloseEye_frontocentral_theta_sd_linear,CloseEye_global_theta_alpha_ratio_cv_linear,CloseEye_global_theta_alpha_ratio_mean_linear,CloseEye_global_theta_alpha_ratio_n_epochs_used,CloseEye_global_theta_alpha_ratio_sd_linear,CloseEye_global_theta_mean_db,CloseEye_global_theta_mean_linear,CloseEye_global_theta_n_epochs_used,CloseEye_global_theta_sd_linear,CloseEye_n_epochs_total,CloseEye_posterior_alpha_mean_db,CloseEye_posterior_alpha_mean_linear,CloseEye_posterior_alpha_n_epochs_used,CloseEye_posterior_alpha_sd_linear,OpenEye_central_alpha_mean_db,OpenEye_central_alpha_mean_linear,OpenEye_central_alpha_n_epochs_used,OpenEye_central_alpha_sd_linear,OpenEye_frontal_beta_mean_db,OpenEye_frontal_beta_mean_linear,OpenEye_frontal_beta_n_epochs_used,OpenEye_frontal_beta_sd_linear,OpenEye_frontal_theta_mean_db,OpenEye_frontal_theta_mean_linear,OpenEye_frontal_theta_n_epochs_used,OpenEye_frontal_theta_sd_linear,OpenEye_frontocentral_theta_mean_db,OpenEye_frontocentral_theta_mean_linear,OpenEye_frontocentral_theta_n_epochs_used,OpenEye_frontocentral_theta_sd_linear,OpenEye_global_theta_alpha_ratio_cv_linear,OpenEye_global_theta_alpha_ratio_mean_linear,OpenEye_global_theta_alpha_ratio_n_epochs_used,OpenEye_global_theta_alpha_ratio_sd_linear,OpenEye_global_theta_mean_db,OpenEye_global_theta_mean_linear,OpenEye_global_theta_n_epochs_used,OpenEye_global_theta_sd_linear,OpenEye_n_epochs_total,OpenEye_posterior_alpha_mean_db,OpenEye_posterior_alpha_mean_linear,OpenEye_posterior_alpha_n_epochs_used,OpenEye_posterior_alpha_sd_linear,PVT_central_alpha_mean_db,PVT_central_alpha_mean_linear,PVT_central_alpha_n_epochs_used,PVT_central_alpha_sd_linear,PVT_frontal_beta_mean_db,PVT_frontal_beta_mean_linear,PVT_frontal_beta_n_epochs_used,PVT_frontal_beta_sd_linear,PVT_frontal_theta_mean_db,PVT_frontal_theta_mean_linear,PVT_frontal_theta_n_epochs_used,PVT_frontal_theta_sd_linear,PVT_frontocentral_theta_mean_db,PVT_frontocentral_theta_mean_linear,PVT_frontocentral_theta_n_epochs_used,PVT_frontocentral_theta_sd_linear,PVT_global_theta_alpha_ratio_cv_linear,PVT_global_theta_alpha_ratio_mean_linear,PVT_global_theta_alpha_ratio_n_epochs_used,PVT_global_theta_alpha_ratio_sd_linear,PVT_global_theta_mean_db,PVT_global_theta_mean_linear,PVT_global_theta_n_epochs_used,PVT_global_theta_sd_linear,PVT_n_epochs_total,PVT_posterior_alpha_mean_db,PVT_posterior_alpha_mean_linear,PVT_posterior_alpha_n_epochs_used,PVT_posterior_alpha_sd_linear
sub-006,RW,-118.14642494521092,1.5321263069471211e-12,330.0,7.156757644445532e-13,-125.63441426460459,2.730269505425459e-13,330.0,1.787438294237663e-13,-121.41607561756076,7.215373379782156e-13,330.0,4.660948408413714e-13,-121.48089527181547,7.108448717933996e-13,330.0,3.949085301218879e-13,0.7525622219589286,0.23992120609577539,330.0,0.18055563595450294,-120.24144553853327,9.457002164518691e-13,330.0,4.383645786472738e-13,330.0,-109.88234555901474,1.027439027468512e-11,330.0,4.6393893786534525e-12,-123.79158986725676,4.1745539050131437e-13,299.0,2.2568371989552762e-13,-124.78397731038626,3.3213299534915806e-13,299.0,2.353282462647272e-13,-123.47741085626511,4.4879095469661347e-13,299.0,2.0520039459946562e-13,-123.47248551604004,4.4930046987810546e-13,299.0,1.7474726551208828e-13,0.3836730488052929,1.13890147073642,299.0,0.4369657995662744,-122.16492589652606,6.072235829879078e-13,299.0,1.8775164674988345e-13,299.0,-121.56466106294202,6.972613839508318e-13,299.0,3.507449759791803e-13,-124.60653240601275,3.4599365640306013e-13,44.0,2.1590187403643954e-13,-125.04719987146147,3.1258751213537936e-13,44.0,2.0982693565107208e-13,-122.599283201684,5.494095378613426e-13,44.0,3.450858287130504e-13,-123.63051685982278,4.332372441279939e-13,44.0,2.112393568559188e-13,0.5730716546654001,1.1561986202116887,44.0,0.6625846564065652,-122.62999213003462,5.455368054695222e-13,44.0,2.0560348862928344e-13,44.0,-121.38161746042857,7.272867604362779e-13,44.0,3.5427645437129583e-13
sub-006,SD,-117.39162745787141,1.8229903063382822e-12,209.0,9.239803404530346e-13,-126.31485302411697,2.334004718409855e-13,209.0,1.149112984053982e-13,-121.48888877219478,7.095373060089752e-13,209.0,4.041775775321438e-13,-121.53435146521197,7.021461764054035e-13,209.0,3.3452540027056385e-13,1.163920773844609,0.3198301452914206,209.0,0.37225695020642424,-119.94934508726192,1.011509966561004e-12,209.0,3.912406562369652e-13,209.0,-110.01429238121113,9.966922623629743e-12,209.0,5.337505435727269e-12,-121.02056847274679,7.903530937458152e-13,349.0,5.548608109274041e-13,-126.16212288616057,2.417625460367771e-13,349.0,1.0895602544056766e-13,-121.99523941226131,6.314273129715893e-13,349.0,3.723359877969462e-13,-122.59356633865261,5.501335252984824e-13,349.0,2.6534428934735705e-13,0.5497530582376302,0.8752175289653618,349.0,0.4811535131718894,-120.81434662967682,8.287985835297759e-13,349.0,3.571820897556261e-13,349.0,-117.98389123211186,1.5905607193740493e-12,349.0,1.3388561311104256e-12,-121.7362910603458,6.702349006168169e-13,39.0,5.132131932125881e-13,-126.6586891447507,2.1561753454294125e-13,39.0,7.446568411103897e-14,-121.37963274959745,7.276193054358057e-13,39.0,4.725044160614063e-13,-122.52430977639924,5.589803498604556e-13,39.0,2.9814980115289695e-13,0.6870953177082882,1.387358392861761,39.0,0.953247455718612,-120.22408311577732,9.49489436896038e-13,39.0,5.825142168574322e-13,39.0,-120.25375077904293,9.430238466275186e-13,39.0,6.340944742080549e-13
sub-007,RW,-119.4852261775994,1.1256197896895655e-12,312.0,5.299070683877901e-13,-129.95148450790612,1.0090132886278037e-13,312.0,6.054780017988755e-14,-122.8963839923126,5.130665340773358e-13,312.0,3.3717710794199716e-13,-122.68754617033653,5.383519544342422e-13,312.0,3.0904903832582517e-13,0.9072255352432542,0.25517500246382596,312.0,0.23150127819094343,-122.92802470353628,5.093405375013521e-13,312.0,1.9437635286250674e-13,312.0,-113.5154201890411,4.450781919772103e-12,312.0,2.0634382120150663e-12,-123.94052578857412,4.0337448306556127e-13,301.0,5.191232863104247e-13,-129.00326397501556,1.255759165709564e-13,301.0,5.955160129993188e-14,-123.3281128010438,4.644951266294591e-13,301.0,2.531675034476996e-13,-123.57108204885768,4.3921007226019504e-13,301.0,1.9932320110470393e-13,0.6902204591462894,0.9577877316854501,301.0,0.6610846879286145,-124.00769394698692,3.9718046494543674e-13,301.0,1.6778793715830535e-13,301.0,-119.0994342129637,1.2302070127166633e-12,301.0,2.283729393788803e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-007,SD,-122.73368923606276,5.326599870005245e-13,94.0,4.722988544370887e-13,-127.65633430432376,1.7131841509002002e-13,94.0,1.1931844972945754e-13,-118.41314595440402,1.4408490416744755e-12,94.0,1.2356411911462623e-12,-118.05101700863347,1.5661621746960686e-12,94.0,1.5369269820683357e-12,0.5252710077012945,2.607907007564985,94.0,1.3698579418549273,-116.68623729059455,2.144525952561367e-12,94.0,1.5136707461283115e-12,94.0,-118.88037781921659,1.2938612117649842e-12,94.0,1.8714919018362093e-12,-121.6201782579131,6.884019863095512e-13,275.0,6.9232902761576e-13,-125.9047253797514,2.565380115676584e-13,275.0,1.9628292094985666e-13,-119.1243103618699,1.2231793291008627e-12,275.0,1.0797176217777064e-12,-119.57362749039461,1.1029347670317077e-12,275.0,8.917199669199778e-13,0.8508250703529577,1.592396098131278,275.0,1.3548505222223202,-119.78766502771799,1.0498848193541253e-12,275.0,6.617407090002712e-13,275.0,-117.08221676566734,1.9576230325969152e-12,275.0,2.2229718183731173e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-008,RW,-129.2539252871575,1.1852080618085314e-13,1.0,,-132.68816276099665,5.362770942415338e-14,1.0,,-126.75766520759288,2.1075416194204317e-13,1.0,,-128.78986942105652,1.3191149160152818e-13,1.0,,,3.652158816879016,1.0,,-121.24629564273464,7.503120671954594e-13,1.0,,1.0,-127.31286153709448,1.8543603173834102e-13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-008,SD,-123.37419930435837,4.595897102184861e-13,394.0,5.923976137655872e-13,-126.52352922079632,2.2244045386134556e-13,394.0,3.0243114765381055e-13,-121.96013729705754,6.365533450849035e-13,394.0,4.261286829461638e-13,-122.3948588672336,5.758994958841822e-13,394.0,4.1382097273524704e-13,0.8148366497666422,1.3510076723922624,394.0,1.1008505655811405,-122.46974806313062,5.660500932715281e-13,394.0,3.0108545351757887e-13,394.0,-116.84567593001216,2.067215539105454e-12,394.0,4.010984762111615e-12,-126.41339621723304,2.2815916996473577e-13,22.0,1.3933086523315796e-13,-127.86323912170359,1.633375734923207e-13,22.0,5.288743764283786e-14,-123.90033659662414,4.0712666072514035e-13,22.0,1.666299126579448e-13,-124.0420487551647,3.940492187616698e-13,22.0,1.542354221511627e-13,0.464233012650194,1.1178602009025047,22.0,0.518947608786721,-121.09449318243533,7.770099711397795e-13,22.0,3.1014665704174714e-13,22.0,-121.00688272305587,7.928483313179132e-13,22.0,7.19633593428508e-13,-126.468961256643,2.252557998387974e-13,19.0,1.1463401081282578e-13,-122.59219224595844,5.503076834440996e-13,19.0,4.3651184066417645e-13,-121.91000034276927,6.439471700688468e-13,19.0,5.903048598430374e-13,-122.73427770854062,5.32587785953085e-13,19.0,5.063485881902968e-13,0.5907593872530077,1.4115073281394248,19.0,0.8338612042747768,-122.94308808452855,5.075761956838343e-13,19.0,2.4845075221528045e-13,19.0,-124.00569204827354,3.973636915329634e-13,19.0,2.276342296386334e-13
sub-009,RW,-120.69340603469307,8.52209272183163e-13,329.0,3.891015673983423e-13,-127.40018572565411,1.817402594877133e-13,329.0,1.023518310241527e-13,-122.00951365512407,6.293546374785598e-13,329.0,3.390398912309584e-13,-124.35505132887195,3.6663331398049766e-13,329.0,1.8780481625561162e-13,0.5538082625554864,0.48360930799736435,329.0,0.2678268306176816,-121.50198291168708,7.074005780529669e-13,329.0,3.0132167064392904e-13,329.0,-114.29118140458057,3.722682144297474e-12,329.0,1.4904358161339921e-12,-122.66172455398379,5.415636636392451e-13,432.0,3.3399345432432596e-13,-128.58512578347668,1.3828996224553158e-13,432.0,1.1150311092110493e-13,-124.16441231572712,3.8309556255779007e-13,432.0,2.0659211437181089e-13,-126.06524153949826,2.4722133920465924e-13,432.0,1.9214281694658273e-13,1.279637625464699,0.32321404815948634,432.0,0.41359685710363825,-124.3668604575877,3.65637133358453e-13,432.0,1.6631791931381472e-13,432.0,-113.8833057607124,4.089270529629347e-12,432.0,2.4067908132257263e-12,-126.92684336432569,2.0269366146328136e-13,33.0,1.1160263193952709e-13,-123.10031897839397,4.89520803059861e-13,33.0,2.4073930826552926e-13,-124.57049071479685,3.488788232989894e-13,33.0,2.340499214128897e-13,-125.81465150503162,2.6191889363424906e-13,33.0,1.4233647890643482e-13,0.4935940354453553,1.0393341864334953,33.0,0.5130091552580243,-123.98359290560406,3.993919688566092e-13,33.0,1.507865132604126e-13,33.0,-121.35056990892652,7.325063289329017e-13,33.0,5.314104586640845e-13
sub-009,SD,-124.40596281201363,3.623578503403437e-13,359.0,3.148714890609689e-13,-128.64212331904662,1.3648398435712266e-13,359.0,3.3389053645834233e-13,-117.73317194800684,1.6850996261164324e-12,359.0,1.4644184006524587e-12,-117.55595949220272,1.7552909590749694e-12,359.0,1.7923909978176752e-12,0.7442491965160888,3.729916579107128,359.0,2.7759874170725185,-118.50706412420082,1.4100197697682007e-12,359.0,9.308095213611948e-13,359.0,-119.40823341267057,1.1457569539446685e-12,359.0,1.2423491969594145e-12,-123.55504848032965,4.408353949611136e-13,326.0,3.2695114776864187e-13,-122.73128782335247,5.329547233133878e-13,326.0,7.137307059536649e-13,-120.01569032624747,9.96171642684955e-13,326.0,8.558502071723594e-13,-120.21956064813175,9.504789213804695e-13,326.0,1.0341293400327903e-12,1.1659808840796415,1.4975904998341454,326.0,1.7461618949858893,-120.40039758612795,9.117053061790193e-13,326.0,6.307530951875668e-13,326.0,-115.06335063386217,3.116262206868984e-12,326.0,3.2748472717742783e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-010,RW,-119.91751311515678,1.018952782795987e-12,739.0,9.535899573131094e-13,-125.7216025901217,2.675959421219491e-13,739.0,1.6534319686095114e-13,-118.19609366655547,1.51470121394323e-12,739.0,1.8613267309869493e-12,-120.53265725492543,8.843521679659531e-13,739.0,7.336178475815185e-13,0.8318603972215358,0.9301117962105627,739.0,0.7737231682561551,-120.22728253003599,9.48790049353829e-13,739.0,6.099033210442768e-13,739.0,-114.51287260144315,3.5374106571438835e-12,739.0,3.2102659550295363e-12,-121.74432895546211,6.689951706907923e-13,322.0,5.868213813155551e-13,-124.07360199791316,3.9119506014514167e-13,322.0,1.2316122445753663e-13,-118.65253963488883,1.3635633545023956e-12,322.0,1.1330803284444346e-12,-120.8304793760304,8.257247315965471e-13,322.0,5.45220270948018e-13,0.5147606862488578,1.1905981608003118,322.0,0.6128731263001966,-118.22271280053675,1.5054442202610367e-12,322.0,8.344255078190036e-13,322.0,-117.59821810602793,1.7382919436005992e-12,322.0,1.5227936653114356e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-010,SD,-121.72783510105856,6.715415899099226e-13,344.0,4.644422285329839e-13,-127.55115826204963,1.7552343927352936e-13,344.0,1.021946843045976e-13,-119.31681182773406,1.170136195557843e-12,344.0,9.82335760665259e-13,-121.97483320210628,6.344022296907718e-13,344.0,3.366050614952975e-13,0.657566944781395,0.847644494822574,344.0,0.5573830007212491,-121.31133912000891,7.391552129249935e-13,344.0,3.815653485635215e-13,344.0,-117.26128640641386,1.878538189673303e-12,344.0,1.1632336443792378e-12,-124.24244701609831,3.7626956181032e-13,313.0,2.6376879002424453e-13,-126.07169929705694,2.468536757841328e-13,313.0,8.100223575870688e-14,-117.5969752428889,1.7387895424077529e-12,313.0,1.3219004235482945e-12,-120.27429416356496,9.385725571165228e-13,313.0,5.674838262073564e-13,0.5258616629493787,1.9081096212047046,313.0,1.0034016984964154,-117.87690290030463,1.6302363081086973e-12,313.0,9.89519649291307e-13,313.0,-120.23609530023202,9.4686625202583e-13,313.0,5.729681501215848e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-011,RW,-116.87016336751688,2.055591216888767e-12,31.0,1.2210947839984557e-12,-127.3977523081677,1.8184224428036037e-13,31.0,6.46266350454972e-14,-119.71398302008001,1.067852827908827e-12,31.0,4.713733923810302e-13,-121.91196544125619,6.436557618982752e-13,31.0,2.8555509364919796e-13,0.6051841060420926,0.20496683780748182,31.0,0.12404267250679561,-119.18789456502131,1.2053982319756988e-12,31.0,4.982590730430349e-13,31.0,-107.94906757749968,1.6035674371067815e-11,31.0,9.806830989799505e-12,-126.95096185706257,2.0156989478792472e-13,40.0,6.370632430354295e-14,-128.50893401789483,1.407414306808113e-13,40.0,3.9800088372614727e-14,-120.91779715529329,8.09284351318196e-13,40.0,3.3136817261931683e-13,-123.13170344431467,4.859944137597078e-13,40.0,2.3107050216462633e-13,0.5322973015148912,2.016345782658907,40.0,1.0732954190302675,-119.59619017183212,1.097218453968229e-12,40.0,6.996980715085894e-13,40.0,-120.64933374960384,8.609038026109149e-13,40.0,3.9834114709813697e-13,-129.1769206158956,1.2064500984546583e-13,1.0,,-129.66386322352542,1.0782519541268067e-13,1.0,,-122.74187954257938,5.316559783160977e-13,1.0,,-124.42818850412947,3.6050703158939755e-13,1.0,,,0.8876482980651729,1.0,,-123.50294429680832,4.461588213035507e-13,1.0,,1.0,-119.47096946331229,1.1293216970621154e-12,1.0,
sub-011,SD,-124.1173261636216,3.872740980276168e-13,296.0,3.6689428486227624e-13,-127.88441329551588,1.6254207388109667e-13,296.0,9.456641088865567e-14,-119.0240996036762,1.2517367625237387e-12,296.0,7.693659705972904e-13,-120.2685849833845,9.39807496133583e-13,296.0,5.793758331167401e-13,0.6383153883658864,2.5197932599230293,296.0,1.6084228133095118,-118.74029255246572,1.3362834382983519e-12,296.0,7.110100482586543e-13,296.0,-117.05079096091382,1.971841495780856e-12,296.0,4.0123768037696306e-12,-124.30265865246409,3.7108580864337974e-13,296.0,2.6746400647547467e-13,-127.1418604046933,1.928920443186796e-13,296.0,1.5383199504193089e-13,-118.65551310655137,1.362629935013912e-12,296.0,8.288872556586824e-13,-119.51114812671275,1.1189199367228362e-12,296.0,7.507311962284381e-13,0.48353198358640287,2.929542693158035,296.0,1.4165275894237577,-118.59453440412615,1.381900527137764e-12,296.0,6.523076656718728e-13,296.0,-118.83493688619262,1.3074724982366443e-12,296.0,2.0472241824944044e-12,-125.69287148718487,2.693735872827554e-13,37.0,2.7975358079917823e-13,-128.42843309914352,1.4337869942155341e-13,37.0,7.261876705583469e-14,-121.53145390819594,7.026149438238498e-13,37.0,4.3415765177925353e-13,-121.5432366192846,7.00710682598133e-13,37.0,3.537011905756684e-13,0.5869184178527095,2.394467575159682,37.0,1.4053571208123343,-120.5545289140153,8.799085310382849e-13,37.0,3.6543442471314803e-13,37.0,-119.88707221464709,1.0261215554379913e-12,37.0,1.6661571282889351e-12
sub-012,RW,-117.09192330700786,1.9532521083069346e-12,293.0,1.2753853456099441e-12,-127.72491080223998,1.686310093038887e-13,293.0,7.189947973996102e-14,-122.67427158665599,5.400006705363341e-13,293.0,2.2645894505328664e-13,-123.9547055281788,4.02058886983824e-13,293.0,1.7722982909055607e-13,1.5888681893523835,0.3002616943797556,293.0,0.47707625468104137,-122.87741332581302,5.153135634909388e-13,293.0,1.9374570528413494e-13,293.0,-111.88658373558619,6.476296694406128e-12,293.0,4.029276974668115e-12,-119.19518994195165,1.2033747038278815e-12,240.0,9.058461197082301e-13,-129.02090041390753,1.2506609446148416e-13,240.0,4.2628249620138884e-14,-122.64930692995631,5.431149885590797e-13,240.0,2.541959746724113e-13,-123.98618583566501,3.99153452832807e-13,240.0,2.0007989198309713e-13,0.8541838735914604,0.9570089021054347,240.0,0.8174615710619311,-122.06314182842146,6.216282109734959e-13,240.0,3.8523179539410986e-13,240.0,-120.94892997998222,8.035020757128371e-13,240.0,5.826732573330413e-13,-124.48410670965092,3.5589218621696296e-13,43.0,3.7845455421012745e-13,-128.8095120306039,1.3131521719313464e-13,43.0,4.1733820862467354e-14,-122.34765136092703,5.82196056306036e-13,43.0,2.640580772817926e-13,-123.8359639639249,4.1320949392285856e-13,43.0,1.6400999016631787e-13,0.4152354261923224,1.3896354357180056,43.0,0.5770258624023198,-122.82995884138936,5.209776059485541e-13,43.0,1.370622519476057e-13,43.0,-121.25955977716359,7.480232979919062e-13,43.0,3.132416244976398e-13
sub-012,SD,-119.536166928661,1.1124913272239005e-12,295.0,1.0569361352056479e-12,-128.0694340580685,1.5575352999003233e-13,295.0,7.963627351210824e-14,-120.55717114478193,8.793732258684284e-13,295.0,5.164217936939862e-13,-121.20459422723684,7.575534859154293e-13,295.0,4.2973225653546396e-13,1.0347475403531634,1.0714866834654346,295.0,1.1087182102370272,-121.16834146542249,7.639054972247287e-13,295.0,3.402026604041213e-13,295.0,-114.65739881036998,3.4216212664081134e-12,295.0,3.595658871681628e-12,-122.83670485332848,5.201686410958999e-13,249.0,6.684623853672987e-13,-128.59096664761762,1.3810380145929143e-13,249.0,5.3420885295978415e-14,-121.88287806423975,6.479826820933812e-13,249.0,2.9713186161335067e-13,-122.91617132198351,5.107332077133441e-13,249.0,2.1657591738606145e-13,0.5609330811856796,1.4230132099433384,249.0,0.7982151844214413,-122.25531053879078,5.947121703385907e-13,249.0,2.7215738551642764e-13,249.0,-121.26516701913238,7.470578504600471e-13,249.0,4.865764610065219e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-013,RW,-127.59288878980753,1.738428217635707e-13,62.0,7.721528327502832e-14,-130.66221806579114,8.563544647644445e-14,62.0,3.248512839639418e-14,-124.00108040976735,3.9778609973553423e-13,62.0,1.5649690123579765e-13,-126.38765395585762,2.2951689089005134e-13,62.0,7.171393385348745e-14,0.4508963033767775,1.361801909107273,62.0,0.6140314467479079,-124.51196635554639,3.536150533474843e-13,62.0,9.713955376044325e-14,62.0,-123.80808155697787,4.1587232992461367e-13,62.0,3.1700312625456263e-13,-127.92851533459064,1.6089758934882783e-13,423.0,6.836144535446643e-14,-126.96747348290928,2.0080415004800526e-13,423.0,6.806781899509993e-14,-123.89930629243412,4.0722331009153627e-13,423.0,1.83450189230267e-13,-125.41803243039507,2.8698610367606934e-13,423.0,1.2104083307965983e-13,0.3828301993704709,1.2772248928294532,423.0,0.48896026036282797,-123.61056850476675,4.3523282297487644e-13,423.0,2.0023119455283415e-13,423.0,-125.2069241566354,3.012920262680064e-13,423.0,1.4420694521723923e-13,-128.01517102280783,1.5771459658733261e-13,46.0,8.72635675630519e-14,-128.7814854241749,1.3216682000048106e-13,46.0,7.921631946617845e-14,-121.85581322481424,6.520348485930779e-13,46.0,4.4565929161737186e-13,-124.93445949682769,3.2081418804027417e-13,46.0,1.5128978855093744e-13,0.39238877388116716,1.5388084114500185,46.0,0.6038111458068994,-122.82514741786018,5.21555348008576e-13,46.0,1.740710985341704e-13,46.0,-124.4088903337432,3.621135223814373e-13,46.0,1.8303698631631461e-13
sub-013,SD,-126.57987803775633,2.195701149759113e-13,21.0,7.808453216684092e-14,-129.16059965306934,1.2110008770469727e-13,21.0,3.94417251550059e-14,-118.7933740665794,1.3200474636938415e-12,21.0,1.3856636581737705e-12,-119.49474033244769,1.1231560905855172e-12,21.0,1.2840198205744477e-12,0.3410644612512719,2.3172319830815,21.0,0.7903254779039082,-119.37636090194722,1.1541981351540815e-12,21.0,6.43935993558618e-13,21.0,-120.35927932569334,9.203802805047318e-13,21.0,5.634555988118784e-13,-126.88616306217563,2.0460329980144835e-13,328.0,1.0676044795472356e-13,-126.22363157755323,2.3835949797536995e-13,328.0,1.5810063761951368e-13,-121.97616970367034,6.342069599199946e-13,328.0,5.405908580030102e-13,-122.73412362866927,5.326066894229393e-13,328.0,4.605866570795346e-13,0.4741595771514114,1.581773776661691,328.0,0.7500131850910986,-121.05193615299751,7.846635976505382e-13,328.0,4.3618099502740394e-13,328.0,-122.92558865149424,5.096264423947997e-13,328.0,3.9846490809537184e-13,-126.04980884632627,2.481021956159215e-13,49.0,3.0672430781333565e-13,-126.78775582503226,2.0929744019072174e-13,49.0,1.4475345525834322e-13,-121.35080023946996,7.324674692982105e-13,49.0,5.474635548725332e-13,-122.31591645853258,5.864675073271972e-13,49.0,4.591544105370396e-13,0.5464720561432045,1.673206083086947,49.0,0.9143603685758415,-120.92017113140193,8.088419732133845e-13,49.0,3.84356020937143e-13,49.0,-122.00775259013591,6.296099827161733e-13,49.0,3.9676628734846884e-13
sub-014,RW,-113.43238099778347,4.5367060917670485e-12,334.0,2.8459761626761226e-12,-121.47990967652677,7.110062608418647e-13,334.0,2.3258128212171855e-13,-119.49313367727075,1.1235717567446054e-12,334.0,6.076848342294361e-13,-120.98453516867836,7.969397627376229e-13,334.0,3.6340661346052827e-13,0.653435080486234,0.13516896455137717,334.0,0.08832414323087019,-120.07631327594736,9.823596576749067e-13,334.0,4.4951553265882776e-13,334.0,-105.82947142690901,2.6124570914011808e-11,334.0,1.756068530242815e-11,-121.89801407013304,6.45727494934753e-13,343.0,5.856252839886105e-13,-117.97031534719187,1.595541227860655e-12,343.0,4.732372351746433e-13,-121.953352210459,6.375489720548835e-13,343.0,2.667350371885285e-13,-123.05681949727726,4.944507773771166e-13,343.0,1.8588413012497408e-13,0.4252944058443506,0.5525482774396776,343.0,0.23499569135402718,-123.34739371208813,4.624365441572723e-13,343.0,1.177127926120833e-13,343.0,-118.58085482381136,1.3862608553453286e-12,343.0,1.5354078337839373e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-014,SD,-121.37565327007664,7.282865386808498e-13,241.0,7.154992425339183e-13,-120.82317637645662,8.271147937767752e-13,241.0,4.3441618092086517e-13,-119.24820474224221,1.188771579567347e-12,241.0,2.952311253322408e-12,-120.16729858990466,9.619885644758619e-13,241.0,2.2773960920477543e-12,1.040401839084119,1.3317545241446167,241.0,1.3855598561286553,-118.66384446384856,1.360017992365422e-12,241.0,1.7403210959181252e-12,241.0,-114.51251758003968,3.5376998587604757e-12,241.0,5.101847541788954e-12,-124.14259076364144,3.850264263055525e-13,70.0,2.775657390945053e-13,-118.73129801227427,1.3390543022641162e-12,70.0,5.157729835836585e-13,-121.61104141967199,6.89852262513427e-13,70.0,4.948954981571655e-13,-122.6213068771184,5.466293352411864e-13,70.0,4.808120832658846e-13,0.6884078925473569,0.9399443747059443,70.0,0.6470651261030624,-120.8723974670439,8.177910452186596e-13,70.0,5.301036510067326e-13,70.0,-117.4818244655078,1.7855151867451043e-12,70.0,1.8020214928539805e-12,-124.00561889709884,3.973703883964506e-13,20.0,3.1918262081056714e-13,-120.52455707523448,8.860035581102e-13,20.0,3.966054304740135e-13,-122.23398132625208,5.976412174281343e-13,20.0,3.567029795688441e-13,-123.51451446462625,4.449711875360237e-13,20.0,2.8077911288163807e-13,0.48756825669806303,0.9648221086125035,20.0,0.47041663351994767,-121.5816397411289,6.945399061138767e-13,20.0,3.3464472028898914e-13,20.0,-120.2294605415814,9.483142337093324e-13,20.0,6.838742851133604e-13
sub-015,RW,-117.12484860716381,1.9384981729650154e-12,293.0,1.2767818375238616e-12,-125.57900723343386,2.7653537750127735e-13,293.0,1.216084152813127e-13,-119.68166859754672,1.0758296610762389e-12,293.0,1.6399921705587193e-12,-121.47639909318386,7.115814087570549e-13,293.0,7.970653544501751e-13,1.3736968990340603,0.21818108979559944,293.0,0.29971468648008714,-121.31485869786977,7.38556254901637e-13,293.0,5.563245419880565e-13,293.0,-107.66418473221064,1.712284380282602e-11,293.0,1.2102047069484906e-11,-125.23484121498387,2.9936006763933175e-13,328.0,4.399178567091712e-13,-126.7137759069078,2.1289707298105762e-13,328.0,7.111500964444439e-14,-122.40616756808458,5.744012703120389e-13,328.0,3.6064934768454326e-13,-123.67408146962535,4.289108964111308e-13,328.0,2.237834657731405e-13,0.47294919075668107,1.3803703230721918,328.0,0.6528450272415316,-124.09788654533948,3.890124717506719e-13,328.0,1.5187249273206206e-13,328.0,-120.0115193645213,9.971290382812023e-13,328.0,3.0448943359089815e-12,-123.5137641362732,4.4504810998756367e-13,50.0,3.6992304392016277e-13,-125.98854807754816,2.516298325878121e-13,50.0,1.0195618288422859e-13,-118.27762330019135,1.4865270064703546e-12,50.0,1.6604259340476544e-12,-120.1709799738945,9.611732730166833e-13,50.0,9.432693035085945e-13,0.5807655264170589,2.0185751908707887,50.0,1.1723188833384888,-119.2263419194542,1.1947721846947868e-12,50.0,7.272663847885578e-13,50.0,-120.93738361554385,8.056417388169603e-13,50.0,4.561827376829437e-13
