sub,session,marker,delta_value,delta_name
sub-007,SD,global_theta_mean_db,,PVT_minus_CloseEye
sub-007,SD,n_epochs_total,,PVT_minus_CloseEye
sub-007,SD,posterior_alpha_mean_db,,PVT_minus_CloseEye
sub-008,RW,global_theta_alpha_ratio_mean_linear,,PVT_minus_CloseEye
sub-008,RW,global_theta_mean_db,,PVT_minus_CloseEye
sub-008,RW,n_epochs_total,,PVT_minus_CloseEye
sub-008,RW,posterior_alpha_mean_db,,PVT_minus_CloseEye
sub-008,SD,global_theta_alpha_ratio_cv_linear,-0.22407726251363447,PVT_minus_CloseEye
sub-008,SD,global_theta_alpha_ratio_mean_linear,0.06049965574716243,PVT_minus_CloseEye
sub-008,SD,global_theta_mean_db,-0.47334002139793085,PVT_minus_CloseEye
sub-008,SD,n_epochs_total,-375.0,PVT_minus_CloseEye
sub-008,SD,posterior_alpha_mean_db,-7.160016118261382,PVT_minus_CloseEye
sub-009,RW,global_theta_alpha_ratio_cv_linear,-0.060214227110131135,PVT_minus_CloseEye
sub-009,RW,global_theta_alpha_ratio_mean_linear,0.5557248784361309,PVT_minus_CloseEye
sub-009,RW,global_theta_mean_db,-2.481609993916976,PVT_minus_CloseEye
sub-009,RW,n_epochs_total,-296.0,PVT_minus_CloseEye
sub-009,RW,posterior_alpha_mean_db,-7.059388504345947,PVT_minus_CloseEye
sub-009,SD,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-009,SD,global_theta_alpha_ratio_mean_linear,,PVT_minus_CloseEye
sub-009,SD,global_theta_mean_db,,PVT_minus_CloseEye
sub-009,SD,n_epochs_total,,PVT_minus_CloseEye
sub-009,SD,posterior_alpha_mean_db,,PVT_minus_CloseEye
sub-010,RW,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-010,RW,global_theta_alpha_ratio_mean_linear,,PVT_minus_CloseEye
sub-010,RW,global_theta_mean_db,,PVT_minus_CloseEye
sub-010,RW,n_epochs_total,,PVT_minus_CloseEye
sub-010,RW,posterior_alpha_mean_db,,PVT_minus_CloseEye
sub-010,SD,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-010,SD,global_theta_alpha_ratio_mean_linear,,PVT_minus_CloseEye
sub-010,SD,global_theta_mean_db,,PVT_minus_CloseEye
sub-010,SD,n_epochs_total,,PVT_minus_CloseEye
sub-010,SD,posterior_alpha_mean_db,,PVT_minus_CloseEye
sub-011,RW,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-011,RW,global_theta_alpha_ratio_mean_linear,0.682681460257691,PVT_minus_CloseEye
sub-011,RW,global_theta_mean_db,-4.315049731787013,PVT_minus_CloseEye
sub-011,RW,n_epochs_total,-30.0,PVT_minus_CloseEye
sub-011,RW,posterior_alpha_mean_db,-11.52190188581261,PVT_minus_CloseEye
sub-011,SD,global_theta_alpha_ratio_cv_linear,-0.05139697051317693,PVT_minus_CloseEye
sub-011,SD,global_theta_alpha_ratio_mean_linear,-0.1253256847633475,PVT_minus_CloseEye
sub-011,SD,global_theta_mean_db,-1.8142363615495753,PVT_minus_CloseEye
sub-011,SD,n_epochs_total,-259.0,PVT_minus_CloseEye
sub-011,SD,posterior_alpha_mean_db,-2.8362812537332758,PVT_minus_CloseEye
sub-012,RW,global_theta_alpha_ratio_cv_linear,-1.1736327631600612,PVT_minus_CloseEye
sub-012,RW,global_theta_alpha_ratio_mean_linear,1.08937374133825,PVT_minus_CloseEye
sub-012,RW,global_theta_mean_db,0.04745448442366751,PVT_minus_CloseEye
sub-012,RW,n_epochs_total,-250.0,PVT_minus_CloseEye
sub-012,RW,posterior_alpha_mean_db,-9.372976041577402,PVT_minus_CloseEye
sub-012,SD,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-012,SD,global_theta_alpha_ratio_mean_linear,,PVT_minus_CloseEye
sub-012,SD,global_theta_mean_db,,PVT_minus_CloseEye
sub-012,SD,n_epochs_total,,PVT_minus_CloseEye
sub-012,SD,posterior_alpha_mean_db,,PVT_minus_CloseEye
sub-013,RW,global_theta_alpha_ratio_cv_linear,-0.05850752949561033,PVT_minus_CloseEye
sub-013,RW,global_theta_alpha_ratio_mean_linear,0.1770065023427454,PVT_minus_CloseEye
sub-013,RW,global_theta_mean_db,1.686818937686212,PVT_minus_CloseEye
sub-013,RW,n_epochs_total,-16.0,PVT_minus_CloseEye
sub-013,RW,posterior_alpha_mean_db,-0.6008087767653336,PVT_minus_CloseEye
sub-013,SD,global_theta_alpha_ratio_cv_linear,0.2054075948919326,PVT_minus_CloseEye
sub-013,SD,global_theta_alpha_ratio_mean_linear,-0.6440258999945527,PVT_minus_CloseEye
