Network_name,Value
Visual,0.395634776779479
Dorsal Attention,0.141967830071545
Default,-0.00874172407352126
Frontoparietal,-0.0234911481997987
Limbic,-0.0400420313273431
Somatomotor,-0.198903407505343
Ventral Attention,-0.282508512605012
