feature,r
terms_abstract_tfidf__temporo parietal,0.12897916
terms_abstract_tfidf__inhibitory control,0.12857075
LDA100_abstract_weight__37_temporal_superior_posterior,0.12783086
terms_abstract_tfidf__inferior frontal,0.12680934
LDA200_abstract_weight__159_inhibition_response_inhibitory,0.12676203
terms_abstract_tfidf__hypoactivation,0.12613246
terms_abstract_tfidf__magnitude,0.12610184
terms_abstract_tfidf__auditory stimuli,0.12502167
terms_abstract_tfidf__performance task,0.12475444
LDA400_abstract_weight__211_model_models_theory,0.12441187
LDA400_abstract_weight__108_tom_mind_theory,0.12417797
LDA400_abstract_weight__196_uncertainty_ambiguous_ambiguity,0.123831086
terms_abstract_tfidf__cognitive functions,0.12309043
terms_abstract_tfidf__middle superior,0.12282881
LDA400_abstract_weight__135_internal_external_intention,0.12249103
terms_abstract_tfidf__resonance performing,0.1224224
terms_abstract_tfidf__mental states,0.12227367
terms_abstract_tfidf__posterior temporal,0.122221455
terms_abstract_tfidf__supports,0.122077025
terms_abstract_tfidf__reliably,0.121679835
terms_abstract_tfidf__closely,0.12164027
terms_abstract_tfidf__inhibit,0.12095605
terms_abstract_tfidf__mfg,0.12085726
terms_abstract_tfidf__recruited,0.12064169
LDA400_abstract_weight__82_comprehension_sentences_language,0.12012206
terms_abstract_tfidf__frontotemporal,0.11983006
terms_abstract_tfidf__functions,0.119543165
LDA400_abstract_weight__159_hemisphere_hemispheric_lateralization,0.119424336
terms_abstract_tfidf__overt,0.11882774
terms_abstract_tfidf__silent,0.118144326
terms_abstract_tfidf__clearly,0.1176599
terms_abstract_tfidf__control network,0.117549635
terms_abstract_tfidf__cognitive processes,0.11750707
terms_abstract_tfidf__ipl,0.11707392
terms_abstract_tfidf__repetitive,0.11701255
terms_abstract_tfidf__complexity,0.116921194
terms_abstract_tfidf__dominance,0.11665266
terms_abstract_tfidf__working,0.116589196
LDA400_abstract_weight__319_individual_variability_inter,0.11646838
terms_abstract_tfidf__optimal,0.11616138
terms_abstract_tfidf__shifted,0.116064236
terms_abstract_tfidf__posterior middle,0.1153945
terms_abstract_tfidf__verbal,0.11451785
terms_abstract_tfidf__working memory,0.114267975
terms_abstract_tfidf__tones,0.114231266
terms_abstract_tfidf__basis,0.11378886
LDA100_abstract_weight__94_network_control_frontoparietal,0.11374978
terms_abstract_tfidf__situations,0.11343599
terms_abstract_tfidf__localize,0.11318264
terms_abstract_tfidf__memory load,0.11314484
terms_abstract_tfidf__paradigm,0.1130334
terms_abstract_tfidf__fewer,0.11278159
terms_abstract_tfidf__systematically,0.11246238
terms_abstract_tfidf__uncertain,0.11242547
terms_abstract_tfidf__language network,0.11232394
terms_abstract_tfidf__classic,0.11226996
terms_abstract_tfidf__frontal,0.11223897
terms_abstract_tfidf__involving,0.11221929
LDA400_abstract_weight__112_error_errors_monitoring,0.11208725
terms_abstract_tfidf__nogo,0.11200491
terms_abstract_tfidf__cognitive neuroscience,0.111864604
LDA100_abstract_weight__25_feedback_error_learning,0.11172872
LDA400_abstract_weight__361_mechanisms_automatic_underlying,0.11159292
terms_abstract_tfidf__neuroanatomy,0.111476466
terms_abstract_tfidf__sound,0.111390434
terms_abstract_tfidf__unaffected,0.11117736
terms_abstract_tfidf__concerning,0.11117152
terms_abstract_tfidf__lateralized,0.1103538
terms_abstract_tfidf__infer,0.11023029
terms_abstract_tfidf__mtg,0.110123456
terms_abstract_tfidf__gyrus ifg,0.110122524
terms_abstract_tfidf__gyrus mfg,0.11002231
terms_abstract_tfidf__supramarginal,0.10988636
terms_abstract_tfidf__short,0.10984097
terms_abstract_tfidf__speaking,0.10906268
terms_abstract_tfidf__precentral,0.10893363
terms_abstract_tfidf__task functional,0.10737806
LDA400_abstract_weight__147_sequence_sequences_order,0.10736643
terms_abstract_tfidf__time courses,0.10731516
terms_abstract_tfidf__playing,0.107139535
LDA200_abstract_weight__179_memory_working_task,0.10694167
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.1069308
LDA200_abstract_weight__88_network_frontoparietal_identified,0.10675457
LDA400_abstract_weight__360_pars_opercularis_inferior,0.10658858
terms_abstract_tfidf__notion,0.106222644
terms_abstract_tfidf__functional networks,0.1060488
terms_abstract_tfidf__empathic,0.1053633
terms_abstract_tfidf__taken,0.10529279
terms_abstract_tfidf__encompassing,0.10509861
terms_abstract_tfidf__contrasts,0.10463758
terms_abstract_tfidf__yield,0.10461363
terms_abstract_tfidf__precise,0.104612194
LDA400_abstract_weight__16_executive_control_cognitive,0.10458228
terms_abstract_tfidf__frontal gyri,0.10454575
terms_abstract_tfidf__order,0.104444526
terms_abstract_tfidf__temporo,0.10438103
terms_abstract_tfidf__dominant,0.10414756
terms_abstract_tfidf__prominent,0.10405296
terms_abstract_tfidf__final,0.10380581
terms_abstract_tfidf__frequent,0.103498235
LDA400_abstract_weight__194_gyrus_ag_angular,0.10347882
terms_abstract_tfidf__regular,0.10311857
terms_abstract_tfidf__signature,0.10303093
terms_abstract_tfidf__includes,0.10276071
terms_abstract_tfidf__mental state,0.10263549
terms_abstract_tfidf__implemented,0.10254179
terms_abstract_tfidf__lobule ipl,0.10230927
LDA400_abstract_weight__366_mental_mentalizing_states,0.10220356
terms_abstract_tfidf__require,0.10215422
terms_abstract_tfidf__network,0.10175395
terms_abstract_tfidf__quantified,0.1017035
terms_abstract_tfidf__attribution,0.101438046
terms_abstract_tfidf__network involved,0.10135047
terms_abstract_tfidf__hemispheric,0.10120243
terms_abstract_tfidf__temporal,0.10118686
terms_abstract_tfidf__manipulating,0.101056464
LDA400_abstract_weight__33_network_identified_core,0.10066774
terms_abstract_tfidf__poorer,0.10066732
terms_abstract_tfidf__networks,0.100653805
terms_abstract_tfidf__pars opercularis,0.10014069
LDA400_abstract_weight__72_cognitive_control_cognition,0.100041874
terms_abstract_tfidf__12 healthy,0.1000413
LDA400_abstract_weight__101_feedback_negative_performance,0.100020535
terms_abstract_tfidf__opercularis,0.1000026
LDA200_abstract_weight__172_verbal_fluency_overt,0.09998974
terms_abstract_tfidf__courses,0.09998721
terms_abstract_tfidf__portion,0.09997019
LDA400_abstract_weight__398_dlpfc_prefrontal_cortex,0.09989642
terms_abstract_tfidf__question,0.099796705
terms_abstract_tfidf__dlpfc,0.09972747
terms_abstract_tfidf__prefrontal cortex,0.09971976
