feature,r
LDA400_abstract_weight__21_strategies_strategy_strategic,0.040956307
terms_abstract_tfidf__gyrus medial,0.04091606
terms_abstract_tfidf__strategies,0.040845733
terms_abstract_tfidf__dacc,0.04076008
terms_abstract_tfidf__task required,0.04069767
terms_abstract_tfidf__reaction time,0.040678892
terms_abstract_tfidf__leads,0.04063382
LDA400_abstract_weight__179_resonance_magnetic_response,0.040562663
terms_abstract_tfidf__reliable,0.04052471
LDA50_abstract_weight__0_network_state_resting,0.040509906
terms_abstract_tfidf__pathophysiological,0.040497743
terms_abstract_tfidf__conditions,0.04046957
terms_abstract_tfidf__ventral tegmental,0.040467706
terms_abstract_tfidf__dysregulation,0.040437464
LDA400_abstract_weight__395_hr_physiological_hypothalamus,0.0403907
terms_abstract_tfidf__personality traits,0.040351983
terms_abstract_tfidf__cause,0.0402603
terms_abstract_tfidf__middle inferior,0.04025556
terms_abstract_tfidf__vary,0.04022177
terms_abstract_tfidf__neurocognitive,0.040157314
terms_abstract_tfidf__mean age,0.040154908
LDA100_abstract_weight__58_personality_trait_traits,0.04008717
LDA400_abstract_weight__253_age_development_adolescence,0.040031802
terms_abstract_tfidf__disease pd,0.040016055
terms_abstract_tfidf__disorder adhd,0.03998816
terms_abstract_tfidf__supplementary,0.039917674
LDA400_abstract_weight__65_pfc_prefrontal_cortex,0.039841685
terms_abstract_tfidf__initiation,0.0397587
terms_abstract_tfidf__improvements,0.039718505
terms_abstract_tfidf__et,0.03967362
terms_abstract_tfidf__verb,0.039629027
terms_abstract_tfidf__time task,0.039628025
terms_abstract_tfidf__healthy volunteers,0.039618973
terms_abstract_tfidf__voluntary,0.039616883
terms_abstract_tfidf__42,0.039545983
LDA400_abstract_weight__75_motor_cortex_supplementary,0.039511286
terms_abstract_tfidf__task performance,0.039383456
terms_abstract_tfidf__occurring,0.03936754
terms_abstract_tfidf__exhibited greater,0.039316997
LDA400_abstract_weight__373_manipulation_magnitude_simple,0.039272312
LDA200_abstract_weight__41_mi_md_rs,0.039255243
terms_abstract_tfidf__choices,0.03921153
terms_abstract_tfidf__responsiveness,0.039043527
LDA100_abstract_weight__23_semantic_words_word,0.039011505
terms_abstract_tfidf__correspond,0.039000347
terms_abstract_tfidf__correctly,0.038973622
LDA400_abstract_weight__333_incongruent_congruent_congruency,0.038960252
terms_abstract_tfidf__inverse,0.038925722
terms_abstract_tfidf__site,0.038865756
terms_abstract_tfidf__taken suggest,0.03879196
LDA200_abstract_weight__181_creative_creativity_generation,0.038786482
terms_abstract_tfidf__reasoning,0.038756814
terms_abstract_tfidf__contrary,0.03874231
terms_abstract_tfidf__alter,0.038497545
terms_abstract_tfidf__individual variability,0.03847352
terms_abstract_tfidf__functional role,0.03835068
terms_abstract_tfidf__agreement,0.038327694
terms_abstract_tfidf__sulcus,0.038304817
terms_abstract_tfidf__weeks,0.038231384
terms_abstract_tfidf__benefits,0.0381633
terms_abstract_tfidf__turn,0.038099635
LDA200_abstract_weight__170_noise_scanner_epi,0.037990727
terms_abstract_tfidf__cognitive performance,0.037883528
terms_abstract_tfidf__calculated,0.03786689
terms_abstract_tfidf__accounted,0.037852205
LDA400_abstract_weight__356_semantic_word_temporal,0.03780489
terms_abstract_tfidf__attend,0.037777923
terms_abstract_tfidf__detected,0.037724994
terms_abstract_tfidf__profile,0.03771123
terms_abstract_tfidf__schizophrenia,0.037665773
terms_abstract_tfidf__control processes,0.037599303
terms_abstract_tfidf__tendency,0.037594058
terms_abstract_tfidf__months,0.037572715
terms_abstract_tfidf__attention deficit,0.03751938
terms_abstract_tfidf__preceded,0.037483584
terms_abstract_tfidf__developing,0.037479054
terms_abstract_tfidf__sequential,0.037372064
terms_abstract_tfidf__lexical decision,0.03736671
terms_abstract_tfidf__component,0.03734458
terms_abstract_tfidf__index,0.03733986
terms_abstract_tfidf__receptor,0.037270527
terms_abstract_tfidf__motivational,0.03721053
terms_abstract_tfidf__functional magnetic,0.037095282
LDA200_abstract_weight__92_executive_control_functions,0.037086554
terms_abstract_tfidf__congruent,0.037084468
terms_abstract_tfidf__refers,0.037066896
LDA200_abstract_weight__128_prediction_error_outcome,0.036976837
LDA100_abstract_weight__68_motor_movement_cortex,0.036898438
terms_abstract_tfidf__serial,0.036890056
terms_abstract_tfidf__20,0.03686443
terms_abstract_tfidf__intervals,0.036850117
terms_abstract_tfidf__nuclei,0.03683767
terms_abstract_tfidf__increasingly,0.03679292
terms_abstract_tfidf__somatosensory cortices,0.03677331
terms_abstract_tfidf__gyrus inferior,0.03674715
terms_abstract_tfidf__quality,0.036688827
terms_abstract_tfidf__sensations,0.036680143
terms_abstract_tfidf__modified,0.03663142
terms_abstract_tfidf__generation,0.03658455
terms_abstract_tfidf__years,0.03648028
terms_abstract_tfidf__shared,0.036442798
terms_abstract_tfidf__isolated,0.036392346
terms_abstract_tfidf__audiovisual,0.036377545
terms_abstract_tfidf__evaluations,0.03633638
terms_abstract_tfidf__medial lateral,0.03632249
LDA400_abstract_weight__320_organization_hierarchical_organized,0.03629099
terms_abstract_tfidf__31,0.036288824
terms_abstract_tfidf__efficacy,0.03628463
LDA100_abstract_weight__36_task_difficulty_demands,0.036243856
terms_abstract_tfidf__cortex thalamus,0.036234576
terms_abstract_tfidf__mpfc,0.036212474
terms_abstract_tfidf__motor response,0.03618424
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.036147144
terms_abstract_tfidf__bands,0.03613452
terms_abstract_tfidf__segregated,0.03610634
terms_abstract_tfidf__construction,0.036042143
terms_abstract_tfidf__cortex supplementary,0.03601479
terms_abstract_tfidf__hypothesized,0.03595545
LDA400_abstract_weight__339_rule_rules_abstraction,0.035932943
terms_abstract_tfidf__coherence,0.03591794
terms_abstract_tfidf__shorter,0.035890166
terms_abstract_tfidf__personal,0.035872895
LDA400_abstract_weight__331_reasoning_hearing_deaf,0.035824988
terms_abstract_tfidf__motor cortex,0.035817508
terms_abstract_tfidf__patient groups,0.035807632
terms_abstract_tfidf__temporal cortices,0.035798036
terms_abstract_tfidf__solving,0.035774846
terms_abstract_tfidf__phenomena,0.035759974
LDA100_abstract_weight__78_frequency_hz_power,0.035739824
terms_abstract_tfidf__motor,0.03573653
terms_abstract_tfidf__relationships,0.035727676
terms_abstract_tfidf__vivo,0.035718575
terms_abstract_tfidf__correlation analyses,0.035702847
terms_abstract_tfidf__declines,0.035668116
terms_abstract_tfidf__rostral,0.03542296
terms_abstract_tfidf__biomarkers,0.03540938
terms_abstract_tfidf__behavior,0.03527318
terms_abstract_tfidf__implicated,0.035241738
LDA400_abstract_weight__386_thalamic_thalamus_pulvinar,0.035117757
terms_abstract_tfidf__circuits,0.035070356
terms_abstract_tfidf__provides,0.034968622
LDA400_abstract_weight__236_social_cognition_interactions,0.034943473
terms_abstract_tfidf__aging,0.034868628
terms_abstract_tfidf__segregation,0.03469164
terms_abstract_tfidf__experiment,0.034630254
LDA50_abstract_weight__23_asd_autism_group,0.03460519
terms_abstract_tfidf__updating,0.03448863
LDA400_abstract_weight__222_interference_stroop_control,0.034482736
terms_abstract_tfidf__sixteen,0.034470566
terms_abstract_tfidf__nerve,0.034450743
terms_abstract_tfidf__challenge,0.03445014
terms_abstract_tfidf__traditionally,0.03440715
LDA400_abstract_weight__248_detection_novelty_oddball,0.0341277
terms_abstract_tfidf__stable,0.03408658
terms_abstract_tfidf__instead,0.03403025
LDA400_abstract_weight__126_stimulation_somatosensory_representation,0.034022994
terms_abstract_tfidf__class,0.03396334
terms_abstract_tfidf__led,0.033938155
terms_abstract_tfidf__cortex cerebellum,0.033814356
terms_abstract_tfidf__situation,0.033747137
terms_abstract_tfidf__23,0.033706192
terms_abstract_tfidf__evidence suggests,0.03365958
terms_abstract_tfidf__events,0.033596564
terms_abstract_tfidf__dissociation,0.03358586
terms_abstract_tfidf__factorial,0.033561278
terms_abstract_tfidf__dissociated,0.033559654
terms_abstract_tfidf__therapeutic,0.03352275
terms_abstract_tfidf__emerged,0.033375144
LDA400_abstract_weight__127_patterns_properties_strongly,0.033354893
LDA400_abstract_weight__25_approach_method_techniques,0.033339165
terms_abstract_tfidf__neocortical,0.033149417
terms_abstract_tfidf__subcortical structures,0.033146504
terms_abstract_tfidf__remain,0.033122174
terms_abstract_tfidf__better understanding,0.03311029
LDA400_abstract_weight__36_frequency_hz_slow,0.03301993
LDA50_abstract_weight__26_emotional_amygdala_negative,0.033008795
LDA200_abstract_weight__27_response_time_reaction,0.03300434
terms_abstract_tfidf__extract,0.032998778
terms_abstract_tfidf__acquired,0.032988366
terms_abstract_tfidf__improvement,0.032948468
terms_abstract_tfidf__bold,0.03284435
terms_abstract_tfidf__physical,0.032835934
terms_abstract_tfidf__differing,0.032821383
terms_abstract_tfidf__stroke,0.03275324
terms_abstract_tfidf__congruent incongruent,0.03270227
LDA400_abstract_weight__314_people_person_situation,0.032690447
terms_abstract_tfidf__large sample,0.032626744
LDA200_abstract_weight__0_symptoms_severity_symptom,0.032473616
terms_abstract_tfidf__control group,0.032454897
terms_abstract_tfidf__incorrect,0.032430373
terms_abstract_tfidf__attending,0.032417204
terms_abstract_tfidf__18 healthy,0.03239518
terms_abstract_tfidf__previous work,0.032345593
terms_abstract_tfidf__ba,0.032327168
terms_abstract_tfidf__executive function,0.032316893
terms_abstract_tfidf__enhancing,0.03222468
terms_abstract_tfidf__techniques,0.032150988
terms_abstract_tfidf__longer,0.03213229
terms_abstract_tfidf__fronto parietal,0.032119915
terms_abstract_tfidf__high level,0.03211779
terms_abstract_tfidf__respective,0.03204839
terms_abstract_tfidf__behaviorally,0.03197279
LDA400_abstract_weight__29_response_hemodynamic_time,0.03195926
terms_abstract_tfidf__manipulated,0.031950843
terms_abstract_tfidf__change,0.031923015
terms_abstract_tfidf__large,0.03183836
terms_abstract_tfidf__involve,0.03164135
terms_abstract_tfidf__risk taking,0.03163217
terms_abstract_tfidf__skin,0.03160588
terms_abstract_tfidf__completed,0.0314725
terms_abstract_tfidf__achieve,0.031341467
terms_abstract_tfidf__subject,0.031231547
terms_abstract_tfidf__decline,0.031198215
LDA200_abstract_weight__71_interaction_modulation_influence,0.031192191
terms_abstract_tfidf__separable,0.030972674
terms_abstract_tfidf__selectively,0.030963894
terms_abstract_tfidf__seeking,0.030928321
terms_abstract_tfidf__event,0.030926082
terms_abstract_tfidf__normal controls,0.0308705
terms_abstract_tfidf__varying,0.030838609
terms_abstract_tfidf__volunteers,0.030794233
LDA200_abstract_weight__122_magnetic_order_resonance,0.03069709
terms_abstract_tfidf__task involving,0.0306792
terms_abstract_tfidf__weaker,0.030548397
terms_abstract_tfidf__studied,0.030494316
terms_abstract_tfidf__systematic,0.030456034
terms_abstract_tfidf__cortex anterior,0.030425189
terms_abstract_tfidf__group comparisons,0.030385468
terms_abstract_tfidf__reorganization,0.030372107
terms_abstract_tfidf__sustained attention,0.030283757
LDA50_abstract_weight__39_stimulation_tms_bpd,0.03009281
terms_abstract_tfidf__remaining,0.029985141
terms_abstract_tfidf__stimulus driven,0.029952519
terms_abstract_tfidf__males,0.029842857
terms_abstract_tfidf__expected,0.029817982
terms_abstract_tfidf__regulatory,0.029774731
terms_abstract_tfidf__conflicting,0.029678388
terms_abstract_tfidf__operations,0.029671926
terms_abstract_tfidf__bipolar disorder,0.029625243
terms_abstract_tfidf__univariate,0.029557336
terms_abstract_tfidf__healthy handed,0.02951275
terms_abstract_tfidf__measures,0.029377528
terms_abstract_tfidf__postcentral,0.02937104
LDA400_abstract_weight__49_pmc_cord_sci,0.029351171
terms_abstract_tfidf__execution,0.029347476
terms_abstract_tfidf__gyrus insula,0.02931849
terms_abstract_tfidf__schizophrenic,0.02930182
terms_abstract_tfidf__persistent,0.029298348
terms_abstract_tfidf__placebo controlled,0.02926146
LDA400_abstract_weight__352_linear_relationship_model,0.029226586
terms_abstract_tfidf__autobiographical,0.029147731
terms_abstract_tfidf__increasing,0.029140895
terms_abstract_tfidf__depending,0.02912362
terms_abstract_tfidf__comparing,0.029016871
terms_abstract_tfidf__adults,0.0290155
terms_abstract_tfidf__emotions,0.029001158
terms_abstract_tfidf__emotional valence,0.02898275
terms_abstract_tfidf__parietal cortex,0.028971376
terms_abstract_tfidf__common,0.028911809
terms_abstract_tfidf__daily,0.02887669
terms_abstract_tfidf__posterior,0.028835211
terms_abstract_tfidf__emotion regulation,0.02882763
terms_abstract_tfidf__alternating,0.028802998
terms_abstract_tfidf__feelings,0.02854872
terms_abstract_tfidf__exert,0.028546093
LDA400_abstract_weight__305_updating_cold_endogenous,0.028522206
terms_abstract_tfidf__rapidly,0.02846467
terms_abstract_tfidf__secondary,0.02841916
terms_abstract_tfidf__calculation,0.028391626
terms_abstract_tfidf__deficit hyperactivity,0.028364578
terms_abstract_tfidf__min,0.028313732
terms_abstract_tfidf__simple,0.028268911
LDA400_abstract_weight__96_alexithymia_tas_ks,0.02825853
terms_abstract_tfidf__social interactions,0.028252032
terms_abstract_tfidf__detection,0.02822893
terms_abstract_tfidf__involvement,0.028142434
LDA400_abstract_weight__237_medial_prefrontal_cortex,0.028109765
terms_abstract_tfidf__atypical,0.028025115
terms_abstract_tfidf__rewards,0.02796519
terms_abstract_tfidf__distraction,0.027945686
LDA400_abstract_weight__205_task_performance_rest,0.027890287
terms_abstract_tfidf__task using,0.027833473
terms_abstract_tfidf__estimation,0.027792543
LDA400_abstract_weight__358_autobiographical_memories_memory,0.027765583
terms_abstract_tfidf__cortical networks,0.02773939
terms_abstract_tfidf__simultaneous eeg,0.027709777
terms_abstract_tfidf__hyperactivity disorder,0.027677093
LDA100_abstract_weight__34_hemisphere_hemispheric_lateralization,0.027640263
LDA400_abstract_weight__369_fitness_heuristic_pbd,0.02758414
terms_abstract_tfidf__interpreted,0.027581705
terms_abstract_tfidf__substantia,0.02755589
terms_abstract_tfidf__contents,0.027502822
terms_abstract_tfidf__sensation,0.027365122
terms_abstract_tfidf__pure,0.0273194
terms_abstract_tfidf__level signal,0.027269369
terms_abstract_tfidf__connectivity using,0.02724707
LDA200_abstract_weight__162_words_word_lexical,0.027219454
terms_abstract_tfidf__sought,0.027218644
terms_abstract_tfidf__medial frontal,0.027159171
terms_abstract_tfidf__traits,0.027122725
terms_abstract_tfidf__et al,0.027062329
terms_abstract_tfidf__putamen,0.026990384
terms_abstract_tfidf__impairment,0.026923278
LDA100_abstract_weight__65_task_switching_rule,0.026876366
LDA200_abstract_weight__91_movement_motor_movements,0.026872091
terms_abstract_tfidf__dorsal medial,0.026867287
terms_abstract_tfidf__49,0.026813094
terms_abstract_tfidf__possibility,0.026808882
terms_abstract_tfidf__word,0.026783347
terms_abstract_tfidf__stroop,0.026711842
terms_abstract_tfidf__unpleasant,0.026688065
terms_abstract_tfidf__native,0.026686033
terms_abstract_tfidf__determine,0.026647888
terms_abstract_tfidf__matter gm,0.02662129
terms_abstract_tfidf__analyzed using,0.0265748
terms_abstract_tfidf__consumption,0.026509268
terms_abstract_tfidf__subserving,0.026505422
LDA400_abstract_weight__274_naming_production_overt,0.026504662
terms_abstract_tfidf__particular,0.026443407
terms_abstract_tfidf__profiles,0.026441773
terms_abstract_tfidf__distinction,0.026423516
terms_abstract_tfidf__methodological,0.026343558
terms_abstract_tfidf__explore,0.026327169
LDA50_abstract_weight__7_reward_feedback_striatum,0.026312865
terms_abstract_tfidf__produce,0.026290046
LDA400_abstract_weight__251_likelihood_consistency_estimation,0.026202422
terms_abstract_tfidf__epilepsy,0.026190532
LDA200_abstract_weight__77_mpfc_cortex_prefrontal,0.026177904
terms_abstract_tfidf__pole,0.026032256
terms_abstract_tfidf__al,0.026007382
LDA400_abstract_weight__7_passive_viewing_listening,0.025855519
terms_abstract_tfidf__responding,0.025850952
terms_abstract_tfidf__continuously,0.025828583
terms_abstract_tfidf__disrupted,0.025750758
terms_abstract_tfidf__recruitment,0.025743589
terms_abstract_tfidf__equal,0.025684007
terms_abstract_tfidf__default network,0.025590627
terms_abstract_tfidf__adapted,0.025583418
terms_abstract_tfidf__dysfunctional,0.025568618
terms_abstract_tfidf__positive correlation,0.025560783
terms_abstract_tfidf__principal,0.025511194
terms_abstract_tfidf__main effect,0.025475828
terms_abstract_tfidf__network dmn,0.025415411
terms_abstract_tfidf__suppressed,0.02538604
LDA200_abstract_weight__175_dopamine_dopaminergic_striatum,0.025282228
LDA400_abstract_weight__30_cbf_asl_epi,0.025224086
terms_abstract_tfidf__articulatory,0.025220824
LDA200_abstract_weight__137_regulation_emotion_reappraisal,0.02522075
terms_abstract_tfidf__secondary somatosensory,0.025147012
terms_abstract_tfidf__mg,0.025105802
terms_abstract_tfidf__reaction,0.02509628
terms_abstract_tfidf__risky,0.02508517
terms_abstract_tfidf__gm,0.02486697
terms_abstract_tfidf__variant,0.02486229
terms_abstract_tfidf__distress,0.024830703
terms_abstract_tfidf__olfactory,0.02483061
terms_abstract_tfidf__self referential,0.024810135
terms_abstract_tfidf__gestures,0.024795773
terms_abstract_tfidf__affective,0.024721298
terms_abstract_tfidf__contributions,0.024656536
LDA200_abstract_weight__148_approach_paradigm_free,0.024522183
terms_abstract_tfidf__t1,0.024468184
terms_abstract_tfidf__cerebellum,0.02446259
terms_abstract_tfidf__participated,0.024454007
terms_abstract_tfidf__mediate,0.024361148
terms_abstract_tfidf__healthy,0.024326166
terms_abstract_tfidf__11,0.024315896
terms_abstract_tfidf__feeling,0.02430223
terms_abstract_tfidf__partner,0.024293363
terms_abstract_tfidf__clear,0.024282794
terms_abstract_tfidf__exist,0.024263382
terms_abstract_tfidf__striatum,0.024226762
terms_abstract_tfidf__echo,0.024185851
LDA400_abstract_weight__19_mechanisms_underlying_unknown,0.024160845
terms_abstract_tfidf__adulthood,0.024102844
terms_abstract_tfidf__extending,0.024064092
terms_abstract_tfidf__better,0.024022574
LDA400_abstract_weight__173_network_default_dmn,0.024018163
LDA400_abstract_weight__270_force_motor_grip,0.023937745
terms_abstract_tfidf__showing,0.023883153
terms_abstract_tfidf__students,0.023863085
LDA400_abstract_weight__206_apoe_epsilon_risk,0.023757115
terms_abstract_tfidf__dysfunction,0.02373787
LDA400_abstract_weight__109_tle_surgical_sm,0.023727205
terms_abstract_tfidf__computation,0.023710914
terms_abstract_tfidf__demonstrated,0.023695087
terms_abstract_tfidf__depends,0.023521582
terms_abstract_tfidf__key,0.023500733
terms_abstract_tfidf__active,0.023461826
terms_abstract_tfidf__vbm,0.023425011
LDA200_abstract_weight__38_adults_age_older,0.023407847
terms_abstract_tfidf__make,0.023395676
terms_abstract_tfidf__stroop task,0.023318788
terms_abstract_tfidf__modeling,0.023289554
LDA400_abstract_weight__93_speed_separation_mph,0.023287756
LDA400_abstract_weight__99_delay_delayed_discounting,0.023219166
terms_abstract_tfidf__natural,0.023069074
terms_abstract_tfidf__level bold,0.02293351
terms_abstract_tfidf__vulnerability,0.022844397
terms_abstract_tfidf__preserved,0.022819478
terms_abstract_tfidf__delivered,0.022785842
terms_abstract_tfidf__languages,0.022735912
terms_abstract_tfidf__number,0.02271975
terms_abstract_tfidf__prefrontal cortical,0.022674508
terms_abstract_tfidf__recognition task,0.022612914
terms_abstract_tfidf__primary somatosensory,0.02256594
LDA400_abstract_weight__106_subgroups_severe_mild,0.02255059
terms_abstract_tfidf__target detection,0.022526084
terms_abstract_tfidf__cortex suggest,0.022378497
terms_abstract_tfidf__elucidate,0.022371273
terms_abstract_tfidf__actively,0.022370577
terms_abstract_tfidf__choice,0.022271127
LDA400_abstract_weight__387_trial_single_task,0.022266941
terms_abstract_tfidf__taking,0.022251178
terms_abstract_tfidf__observations,0.02217607
LDA400_abstract_weight__392_reading_phonological_dyslexia,0.022149721
LDA200_abstract_weight__30_events_future_personal,0.022149498
terms_abstract_tfidf__evidence,0.02212219
LDA400_abstract_weight__247_treatment_baseline_follow,0.022088444
terms_abstract_tfidf__cingulate cortices,0.022082293
terms_abstract_tfidf__maximal,0.022030152
terms_abstract_tfidf__task conditions,0.02202911
terms_abstract_tfidf__bold signal,0.0219668
terms_abstract_tfidf__cortex ba,0.021941006
terms_abstract_tfidf__neurodegenerative,0.021910306
LDA200_abstract_weight__124_post_pre_roi,0.021894768
terms_abstract_tfidf__rewarding,0.021890774
terms_abstract_tfidf__experimentally,0.021879107
terms_abstract_tfidf__dysfunctions,0.021869613
terms_abstract_tfidf__parietal,0.02180527
LDA400_abstract_weight__261_risk_genetic_relatives,0.021804264
terms_abstract_tfidf__organization,0.021801665
terms_abstract_tfidf__duration,0.021798171
terms_abstract_tfidf__dorsal premotor,0.02177475
terms_abstract_tfidf__structure function,0.021774633
terms_abstract_tfidf__referential,0.02175328
terms_abstract_tfidf__followed,0.021725075
terms_abstract_tfidf__lobule,0.021719154
terms_abstract_tfidf__conclusion,0.021710718
terms_abstract_tfidf__enhances,0.021705953
terms_abstract_tfidf__characteristics,0.021649988
terms_abstract_tfidf__adult,0.02164928
terms_abstract_tfidf__additional,0.02161539
terms_abstract_tfidf__allowed,0.021517044
terms_abstract_tfidf__isolate,0.021487473
LDA400_abstract_weight__322_task_difficulty_demands,0.021477696
terms_abstract_tfidf__years old,0.02139463
terms_abstract_tfidf__laboratory,0.021384712
terms_abstract_tfidf__causal modeling,0.021266712
terms_abstract_tfidf__probe,0.021246994
terms_abstract_tfidf__finger movements,0.02118382
terms_abstract_tfidf__autism,0.021144945
terms_abstract_tfidf__intensity,0.021139335
terms_abstract_tfidf__prospective,0.021096447
terms_abstract_tfidf__judgment task,0.02108148
LDA200_abstract_weight__109_measures_size_level,0.021071123
LDA400_abstract_weight__86_number_numerical_numbers,0.021000328
terms_abstract_tfidf__issue,0.02098755
terms_abstract_tfidf__discrimination,0.020945579
terms_abstract_tfidf__capacity,0.020881759
terms_abstract_tfidf__inference,0.02087536
LDA200_abstract_weight__140_epilepsy_temporal_lobe,0.020856524
terms_abstract_tfidf__cued,0.020836761
terms_abstract_tfidf__uses,0.02081178
terms_abstract_tfidf__somatosensory cortex,0.020780109
terms_abstract_tfidf__anterior,0.020775123
terms_abstract_tfidf__morphology,0.02077067
LDA400_abstract_weight__91_age_years_group,0.020745607
terms_abstract_tfidf__double,0.020650074
terms_abstract_tfidf__lateral medial,0.020640114
terms_abstract_tfidf__pd,0.020638693
terms_abstract_tfidf__100,0.020617377
terms_abstract_tfidf__linking,0.02059898
terms_abstract_tfidf__powerful,0.020587994
terms_abstract_tfidf__respectively,0.020530088
terms_abstract_tfidf__contrasted,0.020512406
terms_abstract_tfidf__response time,0.02050346
terms_abstract_tfidf__prediction error,0.020492675
terms_abstract_tfidf__reflects,0.020446122
LDA400_abstract_weight__336_personality_traits_trait,0.020443117
terms_abstract_tfidf__presentation,0.02034187
terms_abstract_tfidf__similarly,0.020330908
terms_abstract_tfidf__competition,0.020307198
terms_abstract_tfidf__motor responses,0.020297667
terms_abstract_tfidf__paralimbic,0.020281794
terms_abstract_tfidf__regulate,0.020262316
terms_abstract_tfidf__anterior medial,0.020089012
terms_abstract_tfidf__promising,0.020033322
terms_abstract_tfidf__loss,0.01991578
terms_abstract_tfidf__outside,0.0198961
terms_abstract_tfidf__predictors,0.01986709
terms_abstract_tfidf__classified,0.019823592
terms_abstract_tfidf__substantial,0.019745255
terms_abstract_tfidf__temporal cortex,0.019685315
terms_abstract_tfidf__constraints,0.019637497
LDA100_abstract_weight__61_caudate_ofc_thalamus,0.0195919
terms_abstract_tfidf__code,0.019570334
terms_abstract_tfidf__storage,0.019569516
terms_abstract_tfidf__occurred,0.019552832
terms_abstract_tfidf__excessive,0.01953432
terms_abstract_tfidf__tract,0.019521378
terms_abstract_tfidf__dmn,0.019502092
terms_abstract_tfidf__failed,0.019487115
terms_abstract_tfidf__new,0.01941801
terms_abstract_tfidf__weak,0.019411132
terms_abstract_tfidf__serotonin,0.019397246
terms_abstract_tfidf__differently,0.019325854
LDA50_abstract_weight__35_schizophrenia_risk_genetic,0.019260513
terms_abstract_tfidf__carriers,0.01920798
terms_abstract_tfidf__competing,0.019167757
terms_abstract_tfidf__integrity,0.019135183
LDA200_abstract_weight__196_personality_trait_scores,0.019132663
terms_abstract_tfidf__morphometry vbm,0.019128758
LDA400_abstract_weight__265_magnetic_resonance_level,0.018911047
LDA100_abstract_weight__48_learning_training_sequence,0.018905424
terms_abstract_tfidf__real time,0.018823614
LDA400_abstract_weight__348_facial_emotion_expressions,0.018810483
terms_abstract_tfidf__contributed,0.018781174
terms_abstract_tfidf__48,0.018728344
terms_abstract_tfidf__rois,0.018707613
LDA400_abstract_weight__344_disease_atrophy_dementia,0.018703463
terms_abstract_tfidf__task induced,0.01868983
LDA400_abstract_weight__54_awareness_conscious_consciousness,0.018675705
terms_abstract_tfidf__perform,0.018651078
terms_abstract_tfidf__emerge,0.018619737
LDA400_abstract_weight__362_schizophrenia_abnormalities_symptoms,0.018603247
LDA400_abstract_weight__298_asd_autism_spectrum,0.018589363
terms_abstract_tfidf__response times,0.018555
terms_abstract_tfidf__brodmann ba,0.01854524
terms_abstract_tfidf__sad,0.018422898
terms_abstract_tfidf__voxel wise,0.018413806
terms_abstract_tfidf__samples,0.01830023
terms_abstract_tfidf__combined,0.018240515
terms_abstract_tfidf__gyrus superior,0.018140506
terms_abstract_tfidf__incentive delay,0.018093651
terms_abstract_tfidf__se,0.018091412
terms_abstract_tfidf__localized,0.017975867
terms_abstract_tfidf__superior frontal,0.017959762
terms_abstract_tfidf__lateral temporal,0.0179562
terms_abstract_tfidf__candidate,0.0179482
terms_abstract_tfidf__characterization,0.01784105
terms_abstract_tfidf__depended,0.017835112
LDA400_abstract_weight__286_competition_free_selection,0.017833414
terms_abstract_tfidf__generating,0.017700542
terms_abstract_tfidf__tissue,0.017686736
LDA400_abstract_weight__267_injury_tbi_traumatic,0.01760543
terms_abstract_tfidf__group level,0.0175704
terms_abstract_tfidf__levels,0.017534763
terms_abstract_tfidf__know,0.017506426
terms_abstract_tfidf__stages,0.01734922
terms_abstract_tfidf__potential,0.017331645
LDA400_abstract_weight__260_social_partner_interaction,0.017322512
terms_abstract_tfidf__determined,0.017283538
terms_abstract_tfidf__rules,0.017257378
terms_abstract_tfidf__autobiographical memory,0.017213268
terms_abstract_tfidf__map,0.017199172
terms_abstract_tfidf__memory,0.01718087
terms_abstract_tfidf__affected,0.017151985
terms_abstract_tfidf__lacking,0.01714177
terms_abstract_tfidf__tractography,0.017110243
terms_abstract_tfidf__independently,0.017105758
terms_abstract_tfidf__semantically,0.017094675
terms_abstract_tfidf__training,0.017090686
terms_abstract_tfidf__judgment,0.017026372
terms_abstract_tfidf__spatiotemporal,0.016996784
terms_abstract_tfidf__caudate nucleus,0.016991673
terms_abstract_tfidf__resonance healthy,0.01697936
terms_abstract_tfidf__functionally connected,0.016894352
terms_abstract_tfidf__neurofunctional,0.016876698
terms_abstract_tfidf__administration,0.016867988
terms_abstract_tfidf__critically,0.016834196
terms_abstract_tfidf__postcentral gyrus,0.016825361
terms_abstract_tfidf__functional organization,0.01678265
terms_abstract_tfidf__brains,0.016615767
terms_abstract_tfidf__anterior posterior,0.016613891
terms_abstract_tfidf__likelihood,0.016606668
terms_abstract_tfidf__suggest functional,0.01647522
terms_abstract_tfidf__daily life,0.016407758
terms_abstract_tfidf__brodmann,0.016385255
terms_abstract_tfidf__parkinson disease,0.016378446
terms_abstract_tfidf__true,0.016330786
terms_abstract_tfidf__average,0.01632031
LDA400_abstract_weight__315_status_engaged_thought,0.016308386
terms_abstract_tfidf__series,0.016257985
LDA400_abstract_weight__227_cortex_anterior_cingulate,0.015965044
LDA100_abstract_weight__14_conflict_interference_control,0.015883395
terms_abstract_tfidf__activates,0.015873557
terms_abstract_tfidf__healthy human,0.015798483
terms_abstract_tfidf__electroencephalography eeg,0.015781293
LDA200_abstract_weight__83_posterior_anterior_cortex,0.015779456
